process_name;activity;business object;action;executing resource;IT_relatedness;deterministic_following_activity;deterministic_preceding_activity;following_activities_standardization;preceding_activities_standardization;failure_rate;number_of_resources;ef_relative;median_execution_time;et_relative;stability;task_type
BPI_Challenge_2012;application submitted;application;submitted;missing;0.5843467712402344;True;False;1.0;0.0;1.0;1;0.04991228070174337;-1.0;-8.053259522894605e-05;0.0;Automated
BPI_Challenge_2012;application partly submitted;application;missing;missing;0.5843467712402344;False;True;4.0;1.0;1.0;1;0.04991228070174337;0.0;6.972066202674536e-07;3.977024914449712e-06;Automated
BPI_Challenge_2012;application preaccepted;application;preaccepted;missing;0.5843467712402344;True;False;1.0;2.0;1.0;49;0.028096872616318845;0.7;6.436552443431813e-05;0.0006132109469992544;Low Automatable User Task
BPI_Challenge_2012;w complete application;w application;complete;missing;1.0;False;False;2.0;2.0;7.445364463146464;55;0.20919145690292454;2.18;0.18823463856606357;0.2493383515502417;Low Automatable User Task
BPI_Challenge_2012;application accepted;application;accepted;missing;0.5843467712402344;False;False;4.0;0.0;1.0;53;0.019500381388254193;6.23;0.0002194333841586483;0.0006847307390218407;Low Automatable User Task
BPI_Challenge_2012;offer selected;offer;selected;missing;1.0;True;False;1.0;4.0;1.4017946161515453;58;0.026811594202901728;0.69;9.684039961055993e-05;0.0010953852488217654;Low Automatable User Task
BPI_Challenge_2012;application finalized;application;finalized;missing;0.5843467712402344;True;False;1.0;2.0;1.0;53;0.019126620900077697;0.0;4.891596724889736e-05;0.0009004359808373896;Low Automatable User Task
BPI_Challenge_2012;offer created;offer;created;missing;1.0;True;False;1.0;4.0;1.4017946161515453;58;0.026811594202901728;0.02;3.095523550391003e-06;7.400292190357628e-05;Low Automatable User Task
BPI_Challenge_2012;offer sent;offer;sent;missing;1.0;False;True;3.0;1.0;1.4017946161515453;58;0.026811594202901728;0.0;1.3107238315706818e-08;2.3413822994104302e-06;High Automatable User Task
BPI_Challenge_2012;w follow up offers;w offers;follow;missing;1.0;False;False;0.0;0.0;10.372083748753738;53;0.19838291380620204;2.12;0.6385997435107946;0.1535971439143366;High Automatable User Task
BPI_Challenge_2012;offer sent back;offer;sent back;missing;1.0;True;False;1.0;2.0;1.061462814996927;26;0.01317315026697218;0.37;1.6743050844557692e-05;0.0009773286159942248;High Automatable User Task
BPI_Challenge_2012;w validate application;w application;validate;missing;1.0;True;True;1.0;1.0;6.394898586355255;54;0.07936308161704567;0.81;0.09156875986450232;0.22616958702351583;Low Automatable User Task
BPI_Challenge_2012;application registered;application;registered;missing;0.5843467712402344;False;False;0.0;0.0;1.0;9;0.00856598016781055;0.0;4.815033222953574e-05;0.9613517524650711;Low Automatable User Task
BPI_Challenge_2012;application approved;application;approved;missing;0.5972120761871338;False;False;0.0;0.0;1.0;9;0.00856598016781055;0.0;5.13267145177055e-05;0.015055395313706617;Physical or Cognitive Task task
BPI_Challenge_2012;offer accepted;offer;accepted;missing;1.0;False;False;0.0;0.0;1.0;8;0.008554538520213784;1.63;0.00011242404445931369;0.007918818756165732;Physical or Cognitive Task task
BPI_Challenge_2012;application activated;application;activated;missing;0.5843467712402344;False;False;0.0;0.0;1.0;9;0.00856598016781055;0.0;1.8926975200540873e-05;0.009727614707909216;Low Automatable User Task
BPI_Challenge_2012;offer cancelled;offer;cancelled;missing;1.0;True;False;1.0;0.0;1.3740601503759398;60;0.013939740655986944;0.0;0.0019543621534230714;5.530496500955248;Low Automatable User Task
BPI_Challenge_2012;w change contract data;w contract data;change;missing;1.0;False;True;0.0;1.0;1.7142857142857142;6;4.5766590389016025e-05;49665;0.001247734259477862;8857.90173003075;High Automatable User Task
BPI_Challenge_2012;application declined;application;declined;missing;0.5843467712402344;False;False;0.0;2.0;1.0;59;0.02911899313500811;0.75;0.0001533590573732085;0.0014956548528897602;Low Automatable User Task
BPI_Challenge_2012;application cancelled;application;cancelled;missing;0.5843467712402344;False;False;0.0;2.0;1.0;58;0.01070556826849778;0.0;0.0063748953790314245;9.548676894072097;Low Automatable User Task
BPI_Challenge_2012;w handling leads;w leads;handling;missing;0.559769868850708;False;True;2.0;1.0;3.4839116719242904;51;0.06318077803202934;0.53;0.009952599151349727;0.06307786944248565;Low Automatable User Task
BPI_Challenge_2012;offer declined;offer;declined;missing;1.0;False;False;0.0;0.0;1.0;44;0.0030587337909992675;1525;4.313204450819354e-05;0.025315428080904652;Low Automatable User Task
BPI_Challenge_2012;w follow up incomplete files;w incomplete files;follow up;missing;1.0;False;False;0.0;0.0;15.294474802671523;52;0.09607170099161504;8.1;0.059564999078088626;0.15514931557660855;Low Automatable User Task
BPI_Challenge_2012;w assess fraud;w fraud;assess;missing;0.559363067150116;False;True;0.0;1.0;6.148148148148148;19;0.0025324180015255803;0.41000000000000003;0.001705377300523233;4.991836076745478;Physical or Cognitive Task task
BPI_Challenge_2013;queued;missing;queued;missing;1.0;False;True;0.0;1.0;1.6385767790262171;168;0.13138138138138408;7.33;0.03809799644859063;318.3274517619883;Automated
BPI_Challenge_2013;accepted;missing;accepted;missing;0.4268568158149719;False;False;0.0;0.0;2.8310901749663526;565;0.6316816816816262;3.93;0.6560215687206801;127.59803179068084;Low Automatable User Task
BPI_Challenge_2013;completed;missing;completed;missing;0.46806591749191284;False;True;0.0;1.0;1.054472091459314;438;0.23543543543543488;7213.09;0.3055933794369292;225.5334237027185;Automated
BPI_Challenge_2013;unmatched;missing;unmatched;missing;0.6647481322288513;False;False;2.0;0.0;1.0;10;0.0015015015015015017;521.47;0.0002870553938010152;6576.371041225293;Automated
BPI_Challenge_2014;operator update;operator;update;missing;0.5889988541603088;False;False;0.0;2.0;2.638728730136408;207;0.12060753700707387;3.0;0.09705120899962677;2.223638316019739;High Automatable User Task
BPI_Challenge_2014;assignment;assignment;missing;missing;0.5458439588546753;False;False;2.0;0.0;2.288233316958399;221;0.1896185646308663;3.0;0.11324143539795983;1.4565800146081171;High Automatable User Task
BPI_Challenge_2014;reassignment;missing;reassignment;missing;0.28478533029556274;False;False;0.0;2.0;2.785515171008899;227;0.11132822124662393;0.0;0.06443019522487874;2.7117398365699787;High Automatable User Task
BPI_Challenge_2014;update from customer;missing;update;from customer;0.6729663610458374;False;False;3.0;2.0;1.6308977035490606;177;0.008368738711522121;26.0;0.015054524733202861;39.090742122466274;High Automatable User Task
BPI_Challenge_2014;closed;missing;closed;missing;0.7198415994644165;True;False;1.0;2.0;1.0861654428487881;196;0.10743737908069714;2.0;0.10900808880649629;3.0036694619890953;Low Automatable User Task
BPI_Challenge_2014;caused by ci;ci;caused;missing;0.5973796844482422;False;False;4.0;10.0;1.0064104440476538;190;0.07366461197629272;0.0;0.060088039378217196;4.987920941432984;Low Automatable User Task
BPI_Challenge_2014;status change;status;change;missing;0.5801490545272827;True;True;1.0;1.0;1.6736464941980869;182;0.10908498790550966;0.0;0.047819338802489265;2.482461688006643;High Automatable User Task
BPI_Challenge_2014;update;missing;update;missing;0.5889988541603088;True;False;1.0;2.0;2.447370211607811;177;0.07706481380306354;3.0;0.07186260914146202;4.0251991808640195;High Automatable User Task
BPI_Challenge_2014;description update;description;update;missing;0.5889988541603088;False;True;2.0;1.0;1.168180638463535;132;0.009643546579766233;1.0;0.0031746694259886347;25.25058146453762;High Automatable User Task
BPI_Challenge_2014;analysis research;analysis;research;missing;0.7532761096954346;False;False;0.0;0.0;1.4405286343612336;91;0.0021018260819262676;16.0;0.0024948975824495463;144.7499936066004;Physical or Cognitive Task task
BPI_Challenge_2014;resolved;missing;resolved;missing;0.44223111867904663;False;False;3.0;7.0;1.0055658627087198;152;0.003483760661786065;20.0;0.005448861582963264;99.38801314116928;Low Automatable User Task
BPI_Challenge_2014;reopen;missing;reopen;missing;0.555617094039917;False;False;3.0;3.0;1.1447430457331447;50;0.0052020731161234145;0.0;0.007923725893456404;64.68413751879113;Low Automatable User Task
BPI_Challenge_2014;oo response;oo response;missing;missing;1.0;True;False;1.0;2.0;1.1785714285714286;8;7.070362966724295e-05;0.0;8.154217219844216e-05;2875.7962797257255;Automated
BPI_Challenge_2014;external vendor assignment;external vendor;assignment;missing;0.5710995197296143;False;False;2.0;3.0;1.1189925469031097;105;0.009328594047611462;0.0;0.0038443749521554003;37.9612895608771;Low Automatable User Task
BPI_Challenge_2014;communication with customer;missing;communication;missing;0.8526842594146729;False;True;2.0;1.0;1.4694072657743786;73;0.013172300460429949;8.0;0.01612328422079451;20.884153477603164;Physical or Cognitive Task task
BPI_Challenge_2014;pending vendor;vendor;pending;missing;0.5710995197296143;False;False;3.0;2.0;1.368886083938151;62;0.009294313499893436;0.0;0.00536164772946296;28.04464093229041;Physical or Cognitive Task task
BPI_Challenge_2014;open;missing;open;missing;1.0;False;False;6.0;2.0;1.0002575383624852;51;0.09985709296679166;-1.0;0.34948743869068394;6.298492398370538;High Automatable User Task
BPI_Challenge_2014;communication with vendor;missing;communication;missing;0.8526842594146729;False;True;3.0;1.0;1.6317722681359046;73;0.003807283330869317;41.0;0.006999491248520062;67.3657717815184;Physical or Cognitive Task task
BPI_Challenge_2014;vendor reference;vendor;reference;missing;0.5710995197296143;False;True;3.0;1.0;1.0053418803418803;15;0.002016124712632628;11.0;0.0008266227090492918;84.47818324899137;Low Automatable User Task
BPI_Challenge_2014;urgency change;urgency;change;missing;0.5801490545272827;False;False;4.0;3.0;1.101170568561873;118;0.0028217175839926564;0.0;0.0005671074455302714;83.2500145126987;Low Automatable User Task
BPI_Challenge_2014;impact change;impact;change;missing;0.5801490545272827;False;True;4.0;1.0;1.0956447480785654;116;0.0027488714200930645;0.0;0.0013997529399620164;125.77349621433177;Low Automatable User Task
BPI_Challenge_2014;quality indicator fixed;quality indicator;fixed;missing;1.0;False;False;2.0;3.0;1.1041666666666667;87;0.0166924842041679;0.0;0.009675022711049084;18.0219766724887;Low Automatable User Task
BPI_Challenge_2014;problem workaround;problem;workaround;missing;0.720455527305603;False;False;2.0;4.0;1.1290322580645162;1;0.00029995479252769696;1.0;0.0004458928462502234;1211.0023757518238;Physical or Cognitive Task task
BPI_Challenge_2014;problem closure;problem;closure;missing;0.5526784062385559;False;False;3.0;2.0;1.1111111111111112;1;8.570136929362789e-05;0.0;0.0002152494747904746;3065.2818225300834;Physical or Cognitive Task task
BPI_Challenge_2014;service change;service;change;missing;1.0;False;False;4.0;4.0;1.0;1;0.0003406629429421723;0.0;0.00019511083826667409;1055.0043896046523;Low Automatable User Task
BPI_Challenge_2014;affected ci change;affected ci;change;missing;0.5973796844482422;False;False;3.0;2.0;1.0;1;0.00039636883298302877;0.0;0.0002568154631956121;1414.0596779485056;Low Automatable User Task
BPI_Challenge_2014;referred;missing;referred;missing;0.5565567016601562;False;False;4.0;2.0;1.0740740740740742;18;6.213349273788024e-05;7.0;3.9551724634147095e-05;1794.913245944952;Low Automatable User Task
BPI_Challenge_2014;vendor reference change;vendor reference;change;missing;0.5801490545272827;True;False;1.0;3.0;1.6835443037974684;10;0.00028495705290131285;0.0;0.0003738021424928496;885.9811723889319;High Automatable User Task
BPI_Challenge_2014;incident reproduction;incident;reproduction;missing;0.548144519329071;False;False;2.0;3.0;1.0454545454545454;12;4.927828734383604e-05;10.0;2.4941393576829128e-05;3032.3631152514054;Physical or Cognitive Task task
BPI_Challenge_2014;quality indicator;quality indicator;missing;missing;1.0;False;True;0.0;1.0;1.0253743760399334;40;0.005281346882719945;0.0;0.0018673195444711239;43.41434150475493;Low Automatable User Task
BPI_Challenge_2014;notify by change;by change;notify;missing;0.5801490545272827;False;False;4.0;5.0;1.1330645161290323;1;0.0006020521192877376;1.0;0.0004862254690389243;554.7848048017773;Automated
BPI_Challenge_2014;contact change;contact;change;missing;0.6469877362251282;False;False;6.0;6.0;1.032258064516129;1;6.856109543490231e-05;2.0;5.0870079824723084e-05;3361.2019569065196;High Automatable User Task
BPI_Challenge_2014;quality indicator set;quality indicator;set;missing;1.0;True;False;1.0;2.0;1.0316455696202531;59;0.004190796958458503;0.0;0.0017326549581038037;72.79602317642986;Low Automatable User Task
BPI_Challenge_2014;mail to customer;missing;mail;missing;1.0000001192092896;False;False;2.0;3.0;1.0400878638110929;41;0.008115919672106758;3.0;0.001802779078891255;28.503731682615932;High Automatable User Task
BPI_Challenge_2014;callback request;request;callback;missing;0.6114135384559631;False;False;4.0;3.0;1.0;6;0.00011355431431405687;0.0;5.0543316292928576e-05;2681.743032029288;High Automatable User Task
BPI_Challenge_2014;external update;external;update;missing;0.5889988541603088;False;False;5.0;2.0;2.0314232902033273;1;0.0023546451213424927;0.0;0.00024636169763559036;76.06208821206567;Low Automatable User Task
BPI_Challenge_2014;external vendor reassignment;external vendor;reassignment;missing;0.5710995197296143;False;True;4.0;1.0;1.0238095238095237;9;9.212897199064987e-05;1.0;2.509743983486977e-06;62.12132800324157;Low Automatable User Task
BPI_Challenge_2014;alert stage;stage;alert;missing;0.4786182641983032;False;False;0.0;0.0;113.0;1;0.00024210636825449872;241.0;0.00024452415291750925;471.4691417356935;Automated
BPI_Challenge_2014;dial in;missing;dial;missing;1.0;False;False;0.0;0.0;1.0;2;4.285068464681395e-06;1452.0;9.682870370726958e-07;1330.6473829201102;Physical or Cognitive Task task
BPI_Challenge_2015;register submission date request;submission date request;register;missing;0.5742507576942444;False;False;20.0;7.0;1.0;9;0.018713081120079498;-1.0;0.003304667934050035;292.1132068114822;High Automatable User Task
BPI_Challenge_2015;olo messaging active;olo messaging;active;missing;0.9999999403953552;False;False;5.0;30.0;1.0;9;0.013302069711863502;2880.0;0.045467722759493664;268.5936421679217;Automated
BPI_Challenge_2015;send confirmation receipt;confirmation receipt;send;missing;0.686505913734436;False;False;13.0;19.0;1.834371108343711;10;0.033210082517924795;0.0;0.00243935249366317;26.123766998585783;High Automatable User Task
BPI_Challenge_2015;phase application received;phase application;received;missing;1.0;False;False;12.0;33.0;1.0;9;0.018690535239212012;0.0;0.005104020715284211;67.25426480706501;Automated
BPI_Challenge_2015;applicant is stakeholder;applicant;stakeholder;missing;0.6025987863540649;False;False;10.0;12.0;1.0;6;0.012828606213644652;0.0;0.0007668619264442315;73.63726648629842;High Automatable User Task
BPI_Challenge_2015;terminate on request;request;terminate;missing;1.0;False;False;19.0;19.0;1.0;7;0.011949316859809862;0.0;0.01639693825508534;631.1306902057855;Low Automatable User Task
BPI_Challenge_2015;enter senddate acknowledgement;senddate acknowledgement;enter;missing;1.0;False;False;38.0;23.0;1.0063938618925832;10;0.017743608242774246;501.78;0.007401546944562381;250.03772122269567;High Automatable User Task
BPI_Challenge_2015;forward to the competent authority;missing;forward;missing;0.6754818558692932;False;False;13.0;10.0;1.0;11;0.018374892907065666;0.03;0.006814129807952897;131.38930117554352;High Automatable User Task
BPI_Challenge_2015;inform bag administrator;missing;inform;missing;0.5657004117965698;False;False;12.0;17.0;1.0;7;0.004712089101321171;0.2;0.01858075685502072;2730.3710573761896;High Automatable User Task
BPI_Challenge_2015;regular procedure without mer;regular procedure without mer;missing;missing;1.0;False;False;20.0;10.0;1.0;10;0.01828470938359539;0.03;0.003545885471142355;53.21255670991845;Physical or Cognitive Task task
BPI_Challenge_2015;mer present;mer;missing;missing;0.543451189994812;False;False;2.0;7.0;1.0;7;0.004283717364837456;0.0;1.0467312544251857e-05;9.690866685332644;Automated
BPI_Challenge_2015;activities regular procedure;activities regular;procedure;missing;1.0;False;False;12.0;12.0;1.10625;8;0.007981241827118218;0.05;0.0003990785483952301;73.43061979086626;Physical or Cognitive Task task
BPI_Challenge_2015;phased application;phased;application;missing;1.0;False;False;13.0;3.0;1.0;8;0.0043964467691752765;0.03;0.0009299223169241196;477.7273252949672;Low Automatable User Task
BPI_Challenge_2015;send procedure confirmation;procedure confirmation;send;missing;1.0;False;False;19.0;19.0;1.0954446854663775;7;0.011385669838120666;0.1;0.011374105511480331;307.4635360504494;Automated
BPI_Challenge_2015;enter senddate procedure confirmation;senddate procedure confirmation;enter;missing;1.0;False;False;21.0;15.0;1.2065217391304348;7;0.012512963881498937;1.08;0.016769240475124608;228.96271781235995;High Automatable User Task
BPI_Challenge_2015;publish;missing;publish;missing;0.5790662169456482;False;False;15.0;11.0;1.0;9;0.0063353925237859;0.0;0.001929025612787745;417.46301582466134;High Automatable User Task
BPI_Challenge_2015;waw permit aspect;waw permit aspect;missing;missing;0.5681877136230469;False;False;15.0;10.0;1.971774193548387;7;0.011024935744239428;0.03;0.00021830239969172074;37.27706414787253;Physical or Cognitive Task task
BPI_Challenge_2015;treat subcases completeness;subcases completeness;treat;missing;0.47501319646835327;False;False;14.0;19.0;1.0642978003384094;9;0.014181359065698725;0.03;0.006578894106191584;89.378410107585;Low Automatable User Task
BPI_Challenge_2015;subcases completeness completed;subcases completeness;completed;missing;0.47501319646835327;False;False;22.0;27.0;1.1833616298811545;9;0.015714478964692954;0.0;0.0022698892460720015;325.91592406332404;Low Automatable User Task
BPI_Challenge_2015;procedure change;procedure;change;missing;1.0;False;False;19.0;30.0;1.801952580195258;9;0.029129278080894504;0.03;0.035675804690730714;163.54451921303675;Low Automatable User Task
BPI_Challenge_2015;request complete;complete;request;missing;0.5542856454849243;False;False;20.0;44.0;1.1767810026385224;9;0.020110925733868475;0.03;0.04092984616390582;243.3958650021435;High Automatable User Task
BPI_Challenge_2015;term for supplying missing data;term missing data;supplying;missing;1.0;False;False;7.0;8.0;1.0114942528735633;8;0.003968075032691515;0.05;0.002380875665052424;475.6501280375434;Automated
BPI_Challenge_2015;enter senddate retrieve missing data;senddate missing data;enter retrieve;missing;1.0;False;False;24.0;15.0;1.0470588235294118;9;0.004013166794426651;832.54;0.02681694293410535;1990.17571787028;High Automatable User Task
BPI_Challenge_2015;retrieve missing data;missing data;retrieve;missing;1.0;False;False;19.0;15.0;1.0467836257309941;8;0.0040357126752942315;0.02;0.0009602005914251425;328.9026045576829;High Automatable User Task
BPI_Challenge_2015;receive additional information;additional information;receive;missing;1.0;False;False;14.0;19.0;1.0127388535031847;8;0.0035847950579429117;0.42;0.022095071844273784;755.1873350340136;Automated
BPI_Challenge_2015;enter receipt of additional data;receipt additional data;enter;missing;1.0;False;False;20.0;15.0;1.0075187969924813;8;0.0030211480362537678;526.5250000000001;0.00954723361854136;292.2530602362968;High Automatable User Task
BPI_Challenge_2015;resume completeness subcases;completeness subcases;resume;missing;0.589468777179718;False;False;14.0;7.0;1.0;8;0.0016007575415971501;0.0;0.0007648544095157344;1018.6138901773224;Low Automatable User Task
BPI_Challenge_2015;send letter in progress;letter;send in progress;missing;0.686505913734436;False;False;23.0;6.0;1.0;9;0.014857735491725558;0.0;0.0008074514288919117;53.48593744805132;Physical or Cognitive Task task
BPI_Challenge_2015;phase application receptive;phase application;receptive;missing;1.0;False;False;27.0;18.0;1.0;9;0.015939937773368953;0.0;0.0030479291026789647;826.9152609837349;Low Automatable User Task
