,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability,Confidence_activity_Automated,Confidence_activity_Physical or Cognitive Task,Confidence_action_Automated,Confidence_action_Low Automatable User Task,Confidence_action_High Automatable User Task,Confidence_action_Physical or Cognitive Task,Confidence_business object_Automated,Confidence_business object_Physical or Cognitive Task,task_type
574,0.5373672842979431,False,False,3.0,2.0,2.0,10,0.028694404591104745,0.0,0.033980582524271837,1.2774725274725258,0.4603939950466156,0.539605975151062,0.2020254582166672,0.2464507669210434,0.21383999288082126,0.3376837372779846,0.5326098203659058,0.4673901498317719,Physical or Cognitive Task
182,1.0,False,False,2.0,2.0,1.0,2,0.00013527528520539296,0.02,1.7725037802232433e-09,0.01607843137254902,0.8014154434204102,0.19858452677726746,0.20561712980270386,0.2137925624847412,0.15027888119220734,0.4303114414215088,0.6715366840362549,0.32846325635910034,Physical or Cognitive Task
254,1.0,True,True,1.0,1.0,1.0,1,2.254588086756549e-05,28091.57,0.0001464482765217819,0.0,0.7795024514198303,0.22049757838249207,0.2684738337993622,0.3052535951137543,0.2601189911365509,0.16615362465381622,0.7087350487709045,0.29126495122909546,High Automatable User Task
379,1.0,True,True,1.0,1.0,1.0,37,0.01719271126494606,98.71,0.024698940713395547,0.35034422381034985,0.7178463935852051,0.2821535468101501,0.1924121379852295,0.3260107338428497,0.2002950757741928,0.28128209710121155,0.5296938419342041,0.4703061878681183,Physical or Cognitive Task
464,0.5801490545272827,False,False,6.0,0.0,1.0,7,2.1930882630302344e-05,0.0,7.713914479804139e-11,0.1453781512605043,0.8103350400924683,0.18966494500637046,0.22437039017677307,0.3351070284843445,0.24184755980968475,0.19867494702339167,0.7103214263916016,0.28967857360839844,High Automatable User Task
591,0.7834091782569885,False,True,0.0,1.0,2.0,10,0.02439024390243904,0.0,0.0004854368932038835,0.029411764705882363,0.6223307847976685,0.3776691555976868,0.2200354039669037,0.1851336508989334,0.14537353813648224,0.4494574964046478,0.6581265926361084,0.341873437166214,Physical or Cognitive Task
661,1.0,False,False,0.0,0.0,1025.0,14,0.004780226186312234,0.41,0.0012509737758575287,177.40384696666752,0.8068879246711731,0.19311203062534327,0.2200354039669037,0.1851336508989334,0.14537353813648224,0.4494574964046478,0.6604406237602234,0.3395593464374542,Low Automatable User Task
575,0.4221528768539429,True,False,1.0,2.0,2.0,10,0.028694404591104745,1.0,0.016019417475728156,0.02313519813519815,0.6311227083206177,0.3688772320747376,0.19945348799228668,0.2752015590667725,0.2100752145051956,0.31526973843574524,0.4943890869617462,0.5056108832359314,Physical or Cognitive Task
39,0.555617094039917,False,False,3.0,3.0,1.1447430457331451,50,0.0052020731161234145,0.0,0.007923725893456404,64.68413751879113,0.8153480291366577,0.18465197086334229,0.20319831371307373,0.29131609201431274,0.23458854854106906,0.2708969712257385,0.0,0.0,Low Automatable User Task
38,0.4422311186790466,False,False,3.0,7.0,1.0055658627087198,152,0.003483760661786065,20.0,0.005448861582963264,99.38801314116928,0.7107930183410645,0.28920698165893555,0.2250393182039261,0.3658911287784576,0.20470447838306427,0.20436501502990725,0.0,0.0,Low Automatable User Task
570,0.5239957571029663,False,False,5.0,2.0,2.2105263157894743,10,0.030129124820659964,0.0,0.0014563106796116505,0.02264808362369339,0.788651168346405,0.21134881675243372,0.21018733084201813,0.2083982080221176,0.14302514493465426,0.4383892416954041,0.5104036331176758,0.4895963370800018,Physical or Cognitive Task
400,1.0,False,False,3.0,4.0,1.7358931552587646,75,0.0020678003043434106,0.33,0.00030088180669857325,30.35148766778546,0.7778307795524597,0.2221691757440567,0.21018142998218536,0.1926082670688629,0.1311589628458023,0.4660513699054718,0.4851284623146057,0.5148715376853943,Physical or Cognitive Task
