activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
confirmation of receipt,receipt,confirmation,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource10, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource19, Resource20, Resource21, Resource22, Resource23, Resource25, Resource26, Resource27, Resource28, Resource29, Resource30, Resource31, Resource33, Resource34, Resource35, Resource36, Resource37, Resource38, Resource42, Resource43, admin1, admin2, admin3",0.5835991501808167,False,False,2.0,0.0,1.0,41,0.16719132563833344,-1.0,-0.0001284235842400483,0.0
t check confirmation of receipt,confirmation of receipt,check,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource10, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource19, Resource20, Resource21, Resource22, Resource23, Resource24, Resource25, Resource26, Resource28, Resource29, Resource30, Resource31, Resource32, Resource33, Resource34, Resource35, Resource36, Resource38, Resource39, TEST, admin1, admin2",0.7834091782569885,False,False,0.0,0.0,1.0395136778115501,40,0.15949632738719507,0.69,0.20537495561639804,34.49545313700013
t adjust confirmation of receipt,t confirmation of receipt,adjust,missing,"Resource01, Resource02, Resource05, Resource06, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13, Resource17, Resource18, Resource21, Resource26, Resource28, Resource30, admin2",0.5835991501808167,False,False,0.0,0.0,1.4864864864864864,17,0.0064124985426139616,8.34,0.03831919564006912,878.6965955846948
t determine necessity of stop advice,t necessity of stop advice,determine,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource20, Resource21, Resource22, Resource23, Resource25, Resource26, Resource28, Resource29, Resource30, Resource31, Resource33, Resource34, Resource35, Resource36, Resource37, admin2, test",0.6196820735931396,False,False,0.0,0.0,1.0817417876241406,34,0.16509268975166635,0.76,0.3937780046924793,66.79008645092804
t determine necessity to stop indication,necessity stop indication,determine,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource20, Resource21, Resource22, Resource23, Resource25, Resource26, Resource28, Resource29, Resource30, Resource31, Resource33, Resource34, Resource35, Resource36, Resource37, admin1, admin2",0.6754818558692932,False,False,0.0,0.0,1.0,34,0.14958610236679185,0.53,0.07765006911069505,20.0196032852948
t determine confirmation of receipt,confirmation of receipt,determine,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource10, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource19, Resource20, Resource21, Resource22, Resource23, Resource24, Resource25, Resource26, Resource28, Resource29, Resource31, Resource33, Resource34, Resource35, Resource36, Resource38, admin1, admin2, admin3",0.6196820735931396,False,False,0.0,0.0,1.0030698388334613,37,0.15238428354902572,0.53,0.0718208536637688,11.248193609402708
t print and send confirmation of receipt,confirmation of receipt,print send,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource10, Resource11, Resource12, Resource13, Resource14, Resource15, Resource16, Resource17, Resource18, Resource20, Resource21, Resource22, Resource23, Resource25, Resource26, Resource27, Resource28, Resource29, Resource31, Resource34, Resource36, TEST, admin1, admin2",1.0,False,False,0.0,0.0,1.0,33,0.15156814737087881,0.605,0.1333283298883991,6.320842520243059
t report reasons to hold request,report reasons hold request,missing,missing,"Resource01, Resource03, Resource05, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13",0.6754818558692932,False,False,0.0,0.0,1.0,9,0.002331817651859624,3.01,0.002593895793120288,834.095792915166
t check report y to stop indication,report y stop indication,t check,missing,"Resource01, Resource03, Resource05, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13",0.7834091782569885,False,False,0.0,0.0,1.3,9,0.0030313629474175135,0.63,3.5285140997614383e-06,0.2300595392424834
t determine report y to stop indication,report y stop indication,determine,missing,"Resource01, Resource03, Resource05, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13",0.6754818558692932,False,False,0.0,0.0,1.0,9,0.002331817651859624,0.63,1.3173716347078878e-06,0.021961769651865908
t print report y to stop indication,report y stop indication,print,missing,"Resource01, Resource03, Resource05, Resource07, Resource08, Resource09, Resource11, Resource12, Resource13",0.6754818558692932,False,False,0.0,0.0,1.0,9,0.002331817651859624,0.32,8.283948076851095e-07,0.017245945945945952
t create document x request unlicensed,document x request unlicensed,create,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource09, Resource13, Resource15, Resource17, Resource21, admin1, admin2",1.0,False,False,0.0,0.0,1.0,15,0.005129998834091176,21.490000000000002,0.02230192142494882,1680.6748567648551
t check document x request unlicensed,document request unlicensed,check,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource13, Resource15, Resource17, Resource19, Resource21, Resource24, admin1",1.0,False,False,0.0,0.0,1.025,14,0.004780226186312234,0.41,0.0012509737758575287,177.40384696666754
t determine document x request unlicensed,document x request unlicensed,determine,missing,"Resource02, Resource03, Resource04, Resource05, Resource06, Resource07, Resource08, Resource10, Resource15, Resource17, Resource19, Resource21, admin1",1.0,False,False,0.0,0.0,1.0,13,0.004547044421126271,0.55,0.0029567783925460336,158.26050202789673
t print document x request unlicensed,document request unlicensed,print,missing,"Resource01, Resource02, Resource03, Resource04, Resource05, Resource07, Resource11, Resource17, Resource21, Resource26, admin1",1.0,False,False,0.0,0.0,1.0,11,0.004547044421126271,164.28,0.014715035786315379,261.354975315957
t draft intern advice aspect,draft intern advice aspect,missing,missing,"Resource02, Resource05, Resource06, Resource09, Resource12, Resource13, Resource15, Resource21, Resource22, Resource23, Resource24, Resource25, Resource26, Resource28, Resource29, Resource32, Resource33, Resource37, Resource40, Resource41, admin2, test",0.617455005645752,False,False,0.0,0.0,2.0,22,0.01212545178967006,1.16,0.025966217045966456,264.8116443859136
t draft and send request for advice,request for advice,draft send,missing,"Resource05, Resource09, Resource12, Resource15, Resource22, Resource25, Resource28, Resource33, test",1.0,False,False,0.0,0.0,1.2,9,0.002098635886673662,1.21,0.00023879980397796647,46.11349111300536
t process or receive external advice from party,t external advice,process receive,party,"Resource05, Resource09, Resource12, Resource15, Resource22, Resource25, Resource26, Resource28, test",1.0,False,False,0.0,0.0,1.4,1,0.002448408534452606,0.7,0.00465676722990361,2466.193808606445
t draft intern advice hold for aspect,draft intern advice hold aspect,missing,missing,"Resource11, Resource12, Resource15, Resource26, Resource35",0.617455005645752,False,False,0.0,0.0,1.6,5,0.0009327270607438497,9.115,0.0018477529775616983,1099.2545503176505
t draft internal advice to hold for type,internal advice hold type,draft,missing,"Resource02, Resource03, Resource11, Resource26, Resource32",1.0,False,False,0.0,0.0,1.0,5,0.0006995452955578874,0.72,0.001116100354422942,1281.8132434570073
t adjust document x request unlicensed,document request unlicensed,adjust,missing,"Resource17, admin2",1.0,False,False,0.0,0.0,1.0,2,0.00023318176518596245,12321.574999999999,0.0022069467572978707,12321.23500234548
t adjust report y to stop indicition,report y stop indicition,adjust,missing,"Resource05, Resource11",0.6754818558692932,False,False,0.0,0.0,3.0,2,0.0006995452955578874,0.29500000000000004,1.5134997026895513e-07,0.002589743589743589
