activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
mail income,income,mail,missing,0;n/a,1.0000001192092896,False,False,5.0,3.0,1.0,1,0.017423772981838257,-1.0,0.007975040975313007,1.318024366744786
mail valid,missing,mail valid,missing,0;n/a,1.0000001192092896,False,False,4.0,2.0,1.6966307523739956,1,0.029561709063432935,0.0,0.014370630801644654,0.3258666091277705
initialize,missing,initialize,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 07361d, 08e484, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 237892, 28b6bf, 2ac4ac, 2ca0ae, 352a49, 354865, 3d952e, 40178c, 439089, 44798d, 465290, 46e3af, 478c4f, 4af6fb, 4b9a7f, 4e9bc2, 51d239, 5d8173, 5d9e09, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6d6ae5, 6f6a4e, 727350, 75992a, 76f30e, 7850e8, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 8a1fba, 8d8538, 9765da, 97d224, 9aaf68, 9e088c, 9e337f, Document processing automaton, Inspection automaton, Inspection service, Parcel automaton, Reference alignment processor, Remote inspection export, a21e1b, a5c3dd, abe845, ad25fc, af1e1e, b33ed5, b4755f, bbd307, bc063d, bfa0ec, c0aa4a, c39cb2, c70c37, d0f451, d4758f, dde669, dee71b, dfd1d4, e25f20, ea52aa, ee28de, f3e81e, f48280, f6846a, f7f7b6, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b, scheduler",0.7384896278381348,False,False,2.0,7.0,4.681275536990116,100,0.081567344107931,28854.45,0.35364871870565046,0.17347653157116363
begin editing,missing,begin editing,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 08e484, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 21612d, 237892, 27cc37, 28b6bf, 2ac4ac, 2b8616, 2baab0, 2bf205, 2c546f, 2ca0ae, 2dc625, 346f05, 352a49, 354865, 36c75c, 39be3e, 3d952e, 40178c, 425ee3, 4298e3, 439089, 44798d, 465290, 46e3af, 478c4f, 483029, 4af6fb, 4b9a7f, 4e9bc2, 4fac6d, 51d239, 520882, 556da9, 5a21a5, 5bf77a, 5c1b3c, 5d8173, 5d9e09, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6c720c, 6d6ae5, 6f6a4e, 7078c7, 71ffe8, 727350, 75992a, 76f30e, 7850e8, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 83c7b7, 8a1fba, 8aab8f, 8c9a01, 8d8538, 9765da, 97d224, 99e048, 9aaf68, 9e088c, 9e337f, Document processing automaton, Inspection service, Parcel automaton, Processing automaton, Reference alignment processor, Remote inspection import, a21e1b, a5c3dd, abe845, ad25fc, aea7c8, af1e1e, b2b786, b33ed5, b4755f, b90293, ba978b, bbd307, bc063d, bfa0ec, c0aa4a, c39cb2, c4f075, c522f8, c70c37, c7c478, c966f4, d0f451, d114c8, d4758f, d4d37d, d8639c, dd12cf, dde669, dee71b, dfd1d4, e25f20, e99397, ea52aa, eb38eb, eb7015, ee262f, ee28de, f01c35, f3e81e, f48280, f6846a, f6f7f1, f7f7b6, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b",0.6174197793006897,True,False,1.0,9.0,9.065100778378872,30,0.15795186348449455,2431.92,0.11125690671964891,0.13720735138472875
finish editing,missing,finish editing,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 07361d, 08e484, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 21612d, 237892, 27cc37, 28b6bf, 2ac4ac, 2b8616, 2baab0, 2bf205, 2c546f, 2ca0ae, 2dc625, 313338, 346f05, 352a49, 354865, 36c75c, 39be3e, 3d952e, 40178c, 425ee3, 4298e3, 439089, 44798d, 465290, 46e3af, 478c4f, 483029, 4af6fb, 4b9a7f, 4e9bc2, 4fac6d, 51d239, 520882, 556da9, 5a21a5, 5bf77a, 5c1b3c, 5d8173, 5d9e09, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6c720c, 6d6ae5, 6f6a4e, 7078c7, 71ffe8, 727350, 75992a, 76f30e, 7850e8, 7886b1, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 82518f, 83c7b7, 8a1fba, 8aab8f, 8c9a01, 8d8538, 9765da, 97d224, 99e048, 9aaf68, 9e088c, 9e337f, Document processing automaton, Inspection service, Parcel automaton, Processing automaton, Reference alignment processor, Remote inspection import, a21e1b, a5c3dd, abe845, ad25fc, aea7c8, af1e1e, b2b786, b33ed5, b4755f, b90293, ba978b, bbd307, bc063d, bfa0ec, c0aa4a, c39cb2, c4f075, c522f8, c70c37, c7c478, c966f4, d0f451, d114c8, d4758f, d4d37d, d8639c, dd04e2, dd12cf, dde669, dee71b, dfd1d4, e25f20, e99397, ea52aa, eb38eb, eb7015, ee28de, f01c35, f3e81e, f48280, f6846a, f6f7f1, f7f7b6, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b",0.6174197793006897,False,False,11.0,0.0,10.409116848136227,147,0.1813702289262067,0.03,0.012012297719682907,0.455962232692859
save,missing,save,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 07361d, 08e484, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 21612d, 237892, 27cc37, 28b6bf, 2ac4ac, 2b8616, 2baab0, 2bf205, 2c546f, 2ca0ae, 2dc625, 313338, 346f05, 352a49, 354865, 36c75c, 39be3e, 3d952e, 40178c, 425ee3, 4298e3, 439089, 44798d, 465290, 46e3af, 478c4f, 483029, 4af6fb, 4b9a7f, 51d239, 520882, 556da9, 5a21a5, 5bf77a, 5c1b3c, 5d8173, 5d9e09, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6c720c, 6d6ae5, 6f6a4e, 6fde6b, 7078c7, 71ffe8, 75992a, 76f30e, 7850e8, 7886b1, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 82518f, 83c7b7, 8a1fba, 8aab8f, 8c9a01, 8d8538, 91bca0, 9765da, 97d224, 99e048, 9aaf68, 9e088c, 9e337f, Inspection automaton, Inspection service, Remote inspection export, Remote inspection import, a21e1b, a5c3dd, abe845, ad25fc, aea7c8, af1e1e, b2b786, b33ed5, b4755f, b90293, ba978b, bbd307, bc063d, bfa0ec, c0aa4a, c39cb2, c4f075, c522f8, c70c37, c966f4, d0f451, d114c8, d4758f, d4d37d, d8639c, dd04e2, dd12cf, dde669, dee71b, dfd1d4, e25f20, e99397, ea52aa, eb38eb, eb7015, ee28de, f01c35, f3e81e, f48280, f6846a, f6f7f1, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b",0.5171647071838379,False,False,4.0,0.0,9.725047968492275,142,0.11490510550643208,2.08,0.15096604906827218,0.7934798640699178
insert document,insert document,missing,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 07361d, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 21612d, 237892, 27cc37, 28b6bf, 2ac4ac, 2b8616, 2baab0, 2bf205, 2c546f, 2ca0ae, 2dc625, 346f05, 352a49, 354865, 36c75c, 39be3e, 3d952e, 40178c, 425ee3, 4298e3, 439089, 44798d, 465290, 46e3af, 478c4f, 483029, 4af6fb, 4b9a7f, 51d239, 556da9, 5a21a5, 5bf77a, 5c1b3c, 5d9e09, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6c720c, 6d6ae5, 6f6a4e, 6fde6b, 71ffe8, 727350, 75992a, 76f30e, 7850e8, 7886b1, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 83c7b7, 8a1fba, 8aab8f, 8beb64, 8d8538, 91bca0, 9765da, 97d224, 99e048, 9aaf68, 9e088c, 9e337f, Document processing automaton, Notification automaton, a5c3dd, abe845, ad25fc, aea7c8, af1e1e, b2b786, b33ed5, b4755f, b90293, ba978b, bbd307, bc063d, bfa0ec, c0aa4a, c39cb2, c4f075, c522f8, c70c37, c966f4, d0f451, d4758f, d4d37d, d8639c, dd12cf, dde669, dee71b, dfd1d4, e25f20, e99397, ea52aa, eb7015, ee28de, f01c35, f3e81e, f48280, f6846a, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b",1.0,False,False,2.0,8.0,2.1421220541319337,130,0.03311503237922942,1634.78,0.08922941064417388,3.684566772775822
performed,missing,performed,missing,"019209, 03b214, 059abc, 0fe39b, 13c937, 167893, 237892, 28b6bf, 2ca0ae, 352a49, 3d952e, 465290, 46e3af, 5d8173, 5e018b, 6f6a4e, 7078c7, 727350, 75992a, 76f30e, 7850e8, 7d12ba, 7d4a25, 9765da, 9e088c, Reference alignment processor, Remote inspection import, a21e1b, ad25fc, b4755f, b90293, bbd307, bc063d, bfa0ec, c39cb2, d4758f, e25f20, ee262f, f3e81e, f48280, f6846a, f8da29, fa6437, fa68d2, fb5fa8, fcb55b, scheduler",0.5248803496360779,False,False,10.0,2.0,1.7517293336072872,33,0.030518250654485872,0.0,0.05469996487633087,0.5435307127096453
calculate,missing,calculate,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 08e484, 0d884f, 0fe39b, 13c937, 167893, 1bd3b5, 1c1894, 2044b6, 21612d, 237892, 28b6bf, 2ac4ac, 2b8616, 2baab0, 2bf205, 2c546f, 2ca0ae, 2dc625, 346f05, 354865, 36c75c, 39be3e, 3d952e, 425ee3, 4298e3, 439089, 44798d, 478c4f, 483029, 4af6fb, 4b9a7f, 4fac6d, 51d239, 520882, 556da9, 5a21a5, 5bf77a, 5c1b3c, 5d8173, 5d9e09, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6ad4a6, 6c720c, 6d6ae5, 6f6a4e, 7078c7, 71ffe8, 727350, 75992a, 76f30e, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 7d4a25, 7fb8a5, 815d19, 822fb7, 83c7b7, 8a1fba, 8aab8f, 8c9a01, 8d8538, 9765da, 97d224, 99e048, 9aaf68, 9e088c, 9e337f, Document processing automaton, Processing automaton, a5c3dd, abe845, ad25fc, aea7c8, af1e1e, b2b786, b33ed5, b4755f, b90293, ba978b, bfa0ec, c0aa4a, c39cb2, c4f075, c522f8, c7c478, c966f4, d0f451, d4758f, d4d37d, d8639c, dd12cf, dde669, dee71b, dfd1d4, e25f20, e99397, ea52aa, eb7015, ee28de, f01c35, f3e81e, f6f7f1, f8da29, f9fe07, fa6437, fa68d2, fb5fa8, fc6177, fcb55b, ffb56b",0.5266119837760925,False,False,5.0,2.0,10.640302221004816,122,0.18539844232697425,0.57,0.0647408197074691,0.0442797488067313
decide,missing,decide,missing,"00037f, 0087cf, 019209, 023bb9, 03b214, 059abc, 155add, 167893, 2bf205, 2ca0ae, 354865, 4298e3, 439089, 478c4f, 4af6fb, 51d239, 520882, 556da9, 5dd4ec, 5e018b, 60b0b8, 65bf34, 6d6ae5, 7078c7, 75992a, 76f30e, 79367e, 796771, 7b9b55, 7d03a0, 7d12ba, 822fb7, 8beb64, 91bca0, 9765da, 97d224, 99e048, 9e088c, 9e337f, a5ae3f, a5c3dd, ad25fc, af1e1e, b33ed5, b90293, bfa0ec, c39cb2, c98a4a, d4758f, d85681, dd12cf, dee71b, ef80e3, f9fe07, fa6437, fb5fa8, fc6177, fcb55b, ffb56b",0.5441063642501831,False,True,7.0,1.0,2.0024660912453762,59,0.03487936439508555,1149.9450000000002,0.005677132372610725,0.020473652540824568
