activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
register submission date request,submission date request,register,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",0.5742507576942444,False,False,0.0,0.0,1.0,9,0.018713081120079498,-1.0,0.003304667934050035,292.1132068114822
olo messaging active,olo messaging,active,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",0.9999999403953552,False,False,0.0,0.0,1.0,9,0.013302069711863502,2880.0,0.045467722759493664,268.5936421679217
send confirmation receipt,confirmation receipt,send,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560528, 560530, 560532, 560598",0.686505913734436,False,False,0.0,0.0,1.834371108343711,10,0.033210082517924795,0.0,0.00243935249366317,26.123766998585783
phase application received,phase application,received,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",1.0,False,False,0.0,0.0,1.0,9,0.018690535239212012,0.0,0.005104020715284211,67.25426480706501
applicant is stakeholder,applicant,stakeholder,missing,"560458, 560519, 560521, 560528, 560530, 560532",0.6025987863540649,False,False,0.0,0.0,1.0,6,0.012828606213644652,0.0,0.0007668619264442315,73.63726648629842
terminate on request,request,terminate,missing,"4634935, 560458, 560519, 560521, 560530, 560532, 560598",1.0,False,False,0.0,0.0,1.0,7,0.011949316859809862,0.0,0.01639693825508534,631.1306902057855
enter senddate acknowledgement,senddate acknowledgement,enter,missing,"20987361, 22445896, 4634935, 560429, 560458, 560519, 560521, 560528, 560530, 560532",1.0,False,False,0.0,0.0,1.0063938618925832,10,0.017743608242774246,501.78,0.007401546944562381,250.03772122269567
forward to the competent authority,missing,forward,missing,"20987361, 22445896, 4634935, 560429, 560458, 560519, 560521, 560528, 560530, 560532, 560598",0.6754818558692932,False,False,0.0,0.0,1.0,11,0.018374892907065666,0.03,0.006814129807952897,131.38930117554352
inform bag administrator,missing,inform,missing,"22445896, 4634935, 560458, 560519, 560521, 560530, 560532",0.5657004117965698,False,False,0.0,0.0,1.0,7,0.004712089101321171,0.2,0.01858075685502072,2730.3710573761896
regular procedure without mer,regular procedure without mer,missing,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560528, 560530, 560532, 560598",1.0,False,False,0.0,0.0,1.0,10,0.01828470938359539,0.03,0.003545885471142355,53.21255670991845
mer present,mer,missing,missing,"4634935, 560458, 560519, 560521, 560530, 560532, 560598",0.543451189994812,False,False,0.0,0.0,1.0,7,0.004283717364837456,0.0,1.0467312544251857e-05,9.690866685332644
activities regular procedure,activities regular,procedure,missing,"20987361, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",1.0,False,False,0.0,0.0,1.10625,8,0.007981241827118218,0.05,0.0003990785483952301,73.43061979086626
phased application,phased,application,missing,"20987361, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",1.0,False,False,0.0,0.0,1.0,8,0.0043964467691752765,0.03,0.0009299223169241196,477.7273252949672
send procedure confirmation,procedure confirmation,send,missing,"4634935, 560458, 560519, 560521, 560528, 560530, 560532",1.0,False,False,0.0,0.0,1.0954446854663775,7,0.011385669838120666,0.1,0.011374105511480331,307.4635360504494
enter senddate procedure confirmation,senddate procedure confirmation,enter,missing,"4634935, 560458, 560519, 560521, 560528, 560530, 560532",1.0,False,False,0.0,0.0,1.2065217391304348,7,0.012512963881498937,1.08,0.016769240475124608,228.96271781235995
publish,missing,publish,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",0.5790662169456482,False,False,0.0,0.0,1.0,9,0.0063353925237859,0.0,0.001929025612787745,417.46301582466134
waw permit aspect,waw permit aspect,missing,missing,"4634935, 560458, 560519, 560521, 560528, 560530, 560532",0.5681877136230469,False,False,0.0,0.0,1.971774193548387,7,0.011024935744239428,0.03,0.00021830239969172074,37.27706414787253
treat subcases completeness,subcases completeness,treat,missing,"20987361, 22445896, 4634935, 560458, 560519, 560521, 560530, 560532, 560598",0.47501319646835327,False,False,0.0,0.0,1.0642978003384094,9,0.014181359065698725,0.03,0.006578894106191584,89.378410107585
