activity,business object,action,executing resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability,task_type
a submitted,a,submitted,missing,0.5843467712402344,True,False,1.0,0.0,1.0,1,0.04991228070174337,-1.0,-8.053259522894605e-05,0.0,
a partlysubmitted,a partlysubmitted,missing,missing,0.5843467712402344,False,True,4.0,1.0,1.0,1,0.04991228070174337,0.0,6.972066202674536e-07,3.977024914449712e-06,
a preaccepted,a,preaccepted,missing,0.5843467712402344,True,False,1.0,2.0,1.0,49,0.028096872616318845,0.7,6.436552443431813e-05,0.0006132109469992544,
w complete application,w application,complete,missing,1.0,False,False,2.0,2.0,7.445364463146464,55,0.20919145690292454,2.18,0.18823463856606357,0.2493383515502417,
a accepted,a,accepted,missing,0.5843467712402344,False,False,4.0,0.0,1.0,53,0.019500381388254193,6.23,0.0002194333841586483,0.0006847307390218407,
o selected,o,selected,missing,1.0,True,False,1.0,4.0,1.4017946161515453,58,0.026811594202901728,0.69,9.684039961055993e-05,0.0010953852488217654,
a finalized,a,finalized,missing,0.5843467712402344,True,False,1.0,2.0,1.0,53,0.019126620900077697,0.0,4.891596724889736e-05,0.0009004359808373896,
o created,o,created,missing,1.0,True,False,1.0,4.0,1.4017946161515453,58,0.026811594202901728,0.02,3.095523550391003e-06,7.400292190357628e-05,
o sent,o,sent,missing,1.0,False,True,3.0,1.0,1.4017946161515453,58,0.026811594202901728,0.0,1.3107238315706818e-08,2.3413822994104302e-06,
w follow up offers,w up offers,follow,missing,1.0,False,False,0.0,0.0,10.372083748753738,53,0.19838291380620204,2.12,0.6385997435107946,0.1535971439143366,
o sent back,o,sent back,missing,1.0,True,False,1.0,2.0,1.061462814996927,26,0.01317315026697218,0.37,1.6743050844557692e-05,0.0009773286159942248,
w validate application,w application,validate,missing,1.0,True,True,1.0,1.0,6.394898586355255,54,0.07936308161704567,0.81,0.09156875986450232,0.22616958702351583,
a registered,a,registered,missing,0.5843467712402344,False,False,0.0,0.0,1.0,9,0.00856598016781055,0.0,4.815033222953574e-05,0.9613517524650711,
a approved,a,approved,missing,0.5972120761871338,False,False,0.0,0.0,1.0,9,0.00856598016781055,0.0,5.13267145177055e-05,0.015055395313706617,
o accepted,o,accepted,missing,1.0,False,False,0.0,0.0,1.0,8,0.008554538520213784,1.63,0.00011242404445931369,0.007918818756165732,
a activated,a,activated,missing,0.5843467712402344,False,False,0.0,0.0,1.0,9,0.00856598016781055,0.0,1.8926975200540873e-05,0.009727614707909216,
o cancelled,o,cancelled,missing,1.0,True,False,1.0,0.0,1.3740601503759398,60,0.013939740655986944,0.0,0.0019543621534230714,5.530496500955248,
w change contract data,w contract data,change,missing,1.0,False,True,0.0,1.0,1.7142857142857142,6,4.5766590389016025e-05,49.665,0.001247734259477862,8857.90173003075,
a declined,a,declined,missing,0.5843467712402344,False,False,0.0,2.0,1.0,59,0.02911899313500811,0.75,0.0001533590573732085,0.0014956548528897602,
a cancelled,a,cancelled,missing,0.5843467712402344,False,False,0.0,2.0,1.0,58,0.01070556826849778,0.0,0.0063748953790314245,9.548676894072097,
w handling leads,w leads,handling,missing,0.559769868850708,False,True,2.0,1.0,3.4839116719242904,51,0.06318077803202934,0.53,0.009952599151349727,0.06307786944248565,
o declined,o,declined,missing,1.0,False,False,0.0,0.0,1.0,44,0.0030587337909992675,1.525,4.313204450819354e-05,0.025315428080904652,
w follow up incomplete files,w incomplete files,follow up,missing,1.0,False,False,0.0,0.0,15.294474802671523,52,0.09607170099161504,8.1,0.059564999078088626,0.15514931557660855,
w assess fraud,w fraud,assess,missing,0.559363067150116,False,True,0.0,1.0,6.148148148148148,19,0.0025324180015255803,0.41000000000000003,0.001705377300523233,4.991836076745478,
