activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
hand washing,hand,washing,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5761070251464844,False,True,0.0,1.0,2.2,10,0.03156384505021521,0.0,0.006310679611650485,0.02711823060660268
ultrasound configuration,ultrasound,configuration,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",1.0,False,False,3.0,3.0,3.3,10,0.04734576757532282,0.0,0.7111650485436893,21.434627874969177
anatomic identification,anatomic,identification,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5239957571029663,False,False,2.0,3.0,2.6315789473684212,10,0.03586800573888093,0.0,0.003883495145631068,0.01714285714285713
compression identification,compression,identification,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5239957571029663,False,False,5.0,2.0,2.210526315789474,10,0.030129124820659964,0.0,0.0014563106796116505,0.02264808362369339
gel in probe,gel,missing,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5206138491630554,False,False,3.0,4.0,2.0,10,0.027259684361549488,0.0,0.0033980582524271844,0.022048364153627317
get in sterile clothes,sterile clothes,get,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.7464611530303955,False,False,3.0,3.0,3.7,10,0.0530846484935438,0.0,0.019417475728155338,0.02547204738985558
clean puncture area,puncture area,clean,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5373672842979431,True,False,1.0,3.0,2.0,10,0.027259684361549488,0.0,0.005339805825242718,0.01920341394025604
drap puncture area,puncture area,drap,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.5373672842979431,False,False,3.0,2.0,2.0,10,0.028694404591104745,0.0,0.03398058252427184,1.277472527472526
cover probe,probe,cover,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.42215287685394287,True,False,1.0,2.0,2.0,10,0.028694404591104745,1.0,0.016019417475728156,0.02313519813519815
put sterile gel,sterile gel,put,missing,"R_13_1C, R_14_1D, R_21_1F, R_31_1G, R_32_1H, R_33_1L, R_45_2A, R_46_2B, R_47_2C, R_48_2D",0.7406916618347168,False,False,3.0,3.0,2.2,10,0.03156384505021521,0.0,0.003883495145631068,0.01902748414376321
