activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
operator update,operator,update,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0005, TEAM0007, TEAM0008, TEAM0010, TEAM0012, TEAM0013, TEAM0015, TEAM0016, TEAM0017, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0026, TEAM0027, TEAM0028, TEAM0029, TEAM0030, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0055, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0062, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0070, TEAM0071, TEAM0072, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0081, TEAM0083, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0103, TEAM0104, TEAM0106, TEAM0107, TEAM0108, TEAM0110, TEAM0112, TEAM0113, TEAM0117, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0122, TEAM0123, TEAM0124, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0139, TEAM0141, TEAM0142, TEAM0143, TEAM0145, TEAM0146, TEAM0147, TEAM0149, TEAM0150, TEAM0151, TEAM0152, TEAM0153, TEAM0154, TEAM0155, TEAM0160, TEAM0161, TEAM0162, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0178, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0195, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0206, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0220, TEAM0221, TEAM0222, TEAM0223, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM0228, TEAM0229, TEAM0230, TEAM0231, TEAM0232, TEAM0233, TEAM0234, TEAM0235, TEAM0236, TEAM0237, TEAM0239, TEAM9999",0.5889988541603088,False,False,0.0,2.0,2.638728730136408,207,0.12060753700707387,3.0,0.09705120899962677,2.223638316019739
assignment,assignment,missing,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0005, TEAM0007, TEAM0008, TEAM0009, TEAM0010, TEAM0011, TEAM0012, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0026, TEAM0027, TEAM0028, TEAM0029, TEAM0030, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0055, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0062, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0068, TEAM0069, TEAM0070, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0081, TEAM0082, TEAM0083, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0103, TEAM0104, TEAM0105, TEAM0106, TEAM0107, TEAM0108, TEAM0109, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0114, TEAM0115, TEAM0117, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0122, TEAM0123, TEAM0124, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0139, TEAM0140, TEAM0141, TEAM0142, TEAM0143, TEAM0145, TEAM0146, TEAM0147, TEAM0148, TEAM0149, TEAM0151, TEAM0152, TEAM0153, TEAM0154, TEAM0155, TEAM0156, TEAM0157, TEAM0162, TEAM0163, TEAM0165, TEAM0166, TEAM0167, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0178, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0183, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0206, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0220, TEAM0221, TEAM0222, TEAM0223, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM0228, TEAM0229, TEAM0230, TEAM0232, TEAM0233, TEAM0235, TEAM0240, TEAM0241, TEAM9999",0.5458439588546753,False,False,2.0,0.0,2.288233316958399,221,0.1896185646308663,3.0,0.11324143539795983,1.4565800146081171
reassignment,missing,reassignment,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0005, TEAM0007, TEAM0008, TEAM0009, TEAM0010, TEAM0011, TEAM0012, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0030, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0055, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0062, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0070, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0081, TEAM0082, TEAM0083, TEAM0084, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0098, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0104, TEAM0105, TEAM0106, TEAM0107, TEAM0108, TEAM0109, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0114, TEAM0115, TEAM0116, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0122, TEAM0123, TEAM0124, TEAM0125, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0140, TEAM0141, TEAM0142, TEAM0143, TEAM0144, TEAM0145, TEAM0146, TEAM0147, TEAM0148, TEAM0149, TEAM0151, TEAM0152, TEAM0153, TEAM0155, TEAM0156, TEAM0158, TEAM0162, TEAM0163, TEAM0165, TEAM0166, TEAM0167, TEAM0168, TEAM0169, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0177, TEAM0178, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0183, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0206, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0220, TEAM0221, TEAM0222, TEAM0223, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM0230, TEAM0231, TEAM0232, TEAM0233, TEAM0234, TEAM0235, TEAM0236, TEAM0237, TEAM0238, TEAM0239, TEAM0240, TEAM0241, TEAM9999",0.28478533029556274,False,False,0.0,2.0,2.785515171008899,227,0.11132822124662393,0.0,0.06443019522487874,2.7117398365699787
update from customer,missing,update,from customer,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0007, TEAM0008, TEAM0010, TEAM0013, TEAM0015, TEAM0016, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0031, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0054, TEAM0056, TEAM0059, TEAM0060, TEAM0063, TEAM0064, TEAM0065, TEAM0068, TEAM0069, TEAM0071, TEAM0074, TEAM0075, TEAM0076, TEAM0078, TEAM0079, TEAM0081, TEAM0082, TEAM0084, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0096, TEAM0100, TEAM0102, TEAM0104, TEAM0108, TEAM0110, TEAM0111, TEAM0119, TEAM0122, TEAM0123, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0141, TEAM0143, TEAM0144, TEAM0155, TEAM0161, TEAM0163, TEAM0165, TEAM0166, TEAM0167, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0175, TEAM0176, TEAM0179, TEAM0180, TEAM0181, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0196, TEAM0197, TEAM0199, TEAM0200, TEAM0204, TEAM0205, TEAM0208, TEAM0209, TEAM0210, TEAM0213, TEAM0214, TEAM0216, TEAM0217, TEAM0219, TEAM0221, TEAM0241, TEAM9999",0.6729663610458374,False,False,3.0,2.0,1.6308977035490606,177,0.008368738711522121,26.0,0.015054524733202861,39.090742122466274
closed,missing,closed,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0006, TEAM0007, TEAM0008, TEAM0010, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0062, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0082, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0104, TEAM0105, TEAM0106, TEAM0107, TEAM0108, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0117, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0122, TEAM0123, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0139, TEAM0140, TEAM0141, TEAM0143, TEAM0144, TEAM0151, TEAM0152, TEAM0154, TEAM0155, TEAM0157, TEAM0159, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0178, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0183, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0206, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0221, TEAM0222, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM0228, TEAM0229, TEAM0231, TEAM0234, TEAM0237, TEAM0239, TEAM0241, TEAM9999",0.7198415994644165,True,False,1.0,2.0,1.0861654428487881,196,0.10743737908069714,2.0,0.10900808880649629,3.0036694619890953
caused by ci,ci,caused,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0006, TEAM0007, TEAM0008, TEAM0010, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0062, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0082, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0104, TEAM0106, TEAM0107, TEAM0108, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0117, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0122, TEAM0123, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0137, TEAM0138, TEAM0139, TEAM0141, TEAM0143, TEAM0144, TEAM0151, TEAM0152, TEAM0154, TEAM0155, TEAM0157, TEAM0159, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0175, TEAM0176, TEAM0178, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0206, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0221, TEAM0222, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM0228, TEAM0229, TEAM0231, TEAM0234, TEAM0239, TEAM0241, TEAM9999",0.5973796844482422,False,False,4.0,10.0,1.0064104440476538,190,0.07366461197629272,0.0,0.060088039378217196,4.987920941432984
status change,status,change,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0005, TEAM0007, TEAM0008, TEAM0010, TEAM0011, TEAM0012, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0030, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0055, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0070, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0081, TEAM0082, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0090, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0095, TEAM0096, TEAM0097, TEAM0099, TEAM0100, TEAM0101, TEAM0102, TEAM0103, TEAM0104, TEAM0105, TEAM0106, TEAM0107, TEAM0108, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0117, TEAM0118, TEAM0119, TEAM0121, TEAM0122, TEAM0123, TEAM0124, TEAM0125, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0134, TEAM0135, TEAM0137, TEAM0138, TEAM0139, TEAM0141, TEAM0143, TEAM0145, TEAM0152, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0207, TEAM0208, TEAM0209, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0218, TEAM0219, TEAM0221, TEAM0222, TEAM0224, TEAM0225, TEAM0226, TEAM0227, TEAM9999",0.5801490545272827,True,True,1.0,1.0,1.6736464941980869,182,0.10908498790550966,0.0,0.047819338802489265,2.482461688006643
update,missing,update,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0005, TEAM0007, TEAM0008, TEAM0009, TEAM0010, TEAM0011, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0029, TEAM0031, TEAM0032, TEAM0033, TEAM0034, TEAM0035, TEAM0036, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0056, TEAM0057, TEAM0058, TEAM0059, TEAM0060, TEAM0061, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0070, TEAM0071, TEAM0072, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0081, TEAM0082, TEAM0085, TEAM0086, TEAM0087, TEAM0088, TEAM0089, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0097, TEAM0098, TEAM0100, TEAM0102, TEAM0103, TEAM0104, TEAM0106, TEAM0107, TEAM0108, TEAM0109, TEAM0110, TEAM0111, TEAM0112, TEAM0113, TEAM0115, TEAM0116, TEAM0118, TEAM0119, TEAM0120, TEAM0121, TEAM0123, TEAM0125, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0131, TEAM0132, TEAM0133, TEAM0134, TEAM0135, TEAM0136, TEAM0137, TEAM0138, TEAM0139, TEAM0141, TEAM0142, TEAM0143, TEAM0148, TEAM0150, TEAM0151, TEAM0152, TEAM0154, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0174, TEAM0175, TEAM0176, TEAM0177, TEAM0179, TEAM0180, TEAM0181, TEAM0183, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0193, TEAM0194, TEAM0195, TEAM0197, TEAM0198, TEAM0199, TEAM0200, TEAM0201, TEAM0202, TEAM0203, TEAM0204, TEAM0205, TEAM0207, TEAM0208, TEAM0210, TEAM0211, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0217, TEAM0218, TEAM0222, TEAM0224, TEAM0225, TEAM0226, TEAM0237, TEAM9999",0.5889988541603088,True,False,1.0,2.0,2.447370211607811,177,0.07706481380306354,3.0,0.07186260914146202,4.0251991808640195
description update,description,update,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0007, TEAM0008, TEAM0010, TEAM0013, TEAM0014, TEAM0015, TEAM0016, TEAM0017, TEAM0018, TEAM0019, TEAM0020, TEAM0021, TEAM0022, TEAM0023, TEAM0024, TEAM0025, TEAM0027, TEAM0028, TEAM0031, TEAM0033, TEAM0034, TEAM0037, TEAM0038, TEAM0039, TEAM0040, TEAM0041, TEAM0042, TEAM0043, TEAM0044, TEAM0045, TEAM0046, TEAM0047, TEAM0048, TEAM0049, TEAM0050, TEAM0051, TEAM0052, TEAM0053, TEAM0054, TEAM0056, TEAM0057, TEAM0063, TEAM0064, TEAM0065, TEAM0066, TEAM0067, TEAM0068, TEAM0069, TEAM0071, TEAM0073, TEAM0074, TEAM0075, TEAM0076, TEAM0077, TEAM0078, TEAM0079, TEAM0080, TEAM0084, TEAM0085, TEAM0086, TEAM0087, TEAM0091, TEAM0092, TEAM0094, TEAM0096, TEAM0097, TEAM0100, TEAM0101, TEAM0102, TEAM0104, TEAM0106, TEAM0107, TEAM0108, TEAM0110, TEAM0122, TEAM0123, TEAM0126, TEAM0127, TEAM0128, TEAM0129, TEAM0130, TEAM0132, TEAM0133, TEAM0134, TEAM0137, TEAM0141, TEAM0143, TEAM0155, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0173, TEAM0175, TEAM0176, TEAM0179, TEAM0180, TEAM0181, TEAM0182, TEAM0184, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0189, TEAM0190, TEAM0191, TEAM0192, TEAM0196, TEAM0197, TEAM0198, TEAM0199, TEAM0201, TEAM0202, TEAM0204, TEAM0205, TEAM0207, TEAM0209, TEAM0210, TEAM0212, TEAM0213, TEAM0214, TEAM0215, TEAM0216, TEAM0217, TEAM0237, TEAM9999",0.5889988541603088,False,True,2.0,1.0,1.168180638463535,132,0.009643546579766233,1.0,0.0031746694259886347,25.25058146453762
analysis research,analysis,research,missing,"TEAM0001, TEAM0002, TEAM0003, TEAM0004, TEAM0007, TEAM0011, TEAM0012, TEAM0017, TEAM0021, TEAM0023, TEAM0024, TEAM0028, TEAM0031, TEAM0034, TEAM0036, TEAM0041, TEAM0043, TEAM0046, TEAM0047, TEAM0048, TEAM0061, TEAM0063, TEAM0064, TEAM0070, TEAM0071, TEAM0072, TEAM0074, TEAM0078, TEAM0079, TEAM0081, TEAM0082, TEAM0091, TEAM0092, TEAM0093, TEAM0094, TEAM0099, TEAM0100, TEAM0104, TEAM0108, TEAM0112, TEAM0114, TEAM0118, TEAM0120, TEAM0121, TEAM0125, TEAM0126, TEAM0127, TEAM0132, TEAM0134, TEAM0137, TEAM0139, TEAM0141, TEAM0143, TEAM0148, TEAM0150, TEAM0156, TEAM0158, TEAM0163, TEAM0164, TEAM0165, TEAM0166, TEAM0170, TEAM0171, TEAM0172, TEAM0175, TEAM0176, TEAM0178, TEAM0180, TEAM0182, TEAM0185, TEAM0186, TEAM0187, TEAM0188, TEAM0191, TEAM0195, TEAM0197, TEAM0198, TEAM0202, TEAM0206, TEAM0207, TEAM0209, TEAM0212, TEAM0213, TEAM0214, TEAM0217, TEAM0221, TEAM0224, TEAM0226, TEAM0227, TEAM0228, TEAM9999",0.7532761096954346,False,False,0.0,0.0,1.4405286343612336,91,0.0021018260819262676,16.0,0.0024948975824495463,144.7499936066004
