activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
new,new,missing,missing,"ResA, ResAA, ResAAA, ResAB, ResABA, ResAC, ResACA, ResAD, ResADA, ResAE, ResAEA, ResAF, ResAFA, ResAG, ResAGA, ResAH, ResAHA, ResAI, ResAJ, ResAJA, ResAK, ResAKA, ResAL, ResALA, ResAM, ResAMA, ResAN, ResANA, ResAO, ResAOA, ResAP, ResAPA, ResAQ, ResAR, ResARA, ResAS, ResAU, ResAV, ResAW, ResAX, ResAY, ResB, ResBA, ResBAA, ResBB, ResBC, ResBCA, ResBD, ResBDA, ResBE, ResBEA, ResBF, ResBFA, ResBG, ResBGA, ResBH, ResBHA, ResBI, ResBIA, ResBJ, ResBK, ResBKA, ResBL, ResBLA, ResBM, ResBMA, ResBN, ResBNA, ResBO, ResBOA, ResBP, ResBPA, ResBQ, ResBR, ResBRA, ResBS, ResBT, ResBU, ResBV, ResBW, ResBX, ResBY, ResC, ResCA, ResCAA, ResCB, ResCBA, ResCC, ResCCA, ResCD, ResCE, ResCEA, ResCF, ResCFA, ResCG, ResCH, ResCHA, ResCI, ResCIA, ResCJ, ResCJA, ResCK, ResCKA, ResCL, ResCLA, ResCM, ResCMA, ResCN, ResCNA, ResCO, ResCP, ResCPA, ResCQ, ResCR, ResCRA, ResCS, ResCT, ResCU, ResCV, ResCW, ResCX, ResCY, ResCZ, ResD, ResDA, ResDAA, ResDB, ResDBA, ResDC, ResDCA, ResDD, ResDE, ResDEA, ResDF, ResDFA, ResDG, ResDGA, ResDH, ResDHA, ResDI, ResDIA, ResDJ, ResDJA, ResDK, ResDL, ResDLA, ResDM, ResDN, ResDNA, ResDO, ResDOA, ResDP, ResDPA, ResDQ, ResDQA, ResDR, ResDRA, ResDT, ResDU, ResDV, ResDW, ResDX, ResDY, ResDZ, ResE, ResEA, ResEAA, ResEB, ResEBA, ResEC, ResECA, ResED, ResEE, ResEEA, ResEF, ResEG, ResEGA, ResEH, ResEHA, ResEI, ResEIA, ResEJ, ResEJA, ResEL, ResEM, ResEMA, ResEN, ResEO, ResEOA, ResEQ, ResEQA, ResER, ResERA, ResES, ResET, ResEU, ResEV, ResEW, ResEX, ResEY, ResEZ, ResF, ResFA, ResFB, ResFBA, ResFC, ResFCA, ResFD, ResFDA, ResFE, ResFEA, ResFF, ResFFA, ResFG, ResFGA, ResFH, ResFHA, ResFI, ResFIA, ResFJ, ResFJA, ResFK, ResFKA, ResFL, ResFM, ResFMA, ResFN, ResFO, ResFOA, ResFP, ResFPA, ResFQ, ResFQA, ResFR, ResFS, ResFT, ResFU, ResFV, ResFW, ResG, ResGA, ResGAA, ResGB, ResGBA, ResGC, ResGCA, ResGD, ResGDA, ResGE, ResGEA, ResGF, ResGFA, ResGG, ResGGA, ResGH, ResGHA, ResGI, ResGIA, ResGJ, ResGKA, ResGL, ResGLA, ResGMA, ResGN, ResGNA, ResGO, ResGOA, ResGP, ResGPA, ResGQ, ResGQA, ResGR, ResGS, ResGT, ResGU, ResGV, ResGW, ResGX, ResGY, ResGZ, ResH, ResHA, ResHAA, ResHB, ResHBA, ResHC, ResHCA, ResHD, ResHDA, ResHE, ResHEA, ResHF, ResHGA, ResHH, ResHHA, ResHI, ResHJ, ResHJA, ResHK, ResHKA, ResHLA, ResHM, ResHMA, ResHN, ResHNA, ResHO, ResHOA, ResHP, ResHPA, ResHQ, ResHR, ResHS, ResHT, ResHU, ResHV, ResHW, ResHX, ResHY, ResHZ, ResI, ResIA, ResIAA, ResIB, ResIC, ResICA, ResID, ResIE, ResIF, ResIFA, ResIG, ResIGA, ResIH, ResIHA, ResII, ResIJ, ResIJA, ResIK, ResIKA, ResIL, ResILA, ResIM, ResIMA, ResIN, ResINA, ResIO, ResIOA, ResIP, ResIPA, ResIQ, ResIQA, ResIR, ResIS, ResIV, ResIW, ResIX, ResIY, ResIZ, ResJ, ResJA, ResJAA, ResJB, ResJBA, ResJC, ResJCA, ResJD, ResJDA, ResJE, ResJF, ResJFA, ResJG, ResJGA, ResJH, ResJHA, ResJI, ResJIA, ResJJ, ResJJA, ResJK, ResJKA, ResJL, ResJLA, ResJM, ResJMA, ResJN, ResJNA, ResJO, ResJP, ResJPA, ResJQ, ResJQA, ResJR, ResJS, ResJT, ResJU, ResJV, ResJW, ResJX, ResJY, ResJZ, ResK, ResKA, ResKAA, ResKB, ResKC, ResKCA, ResKD, ResKDA, ResKE, ResKEA, ResKF, ResKFA, ResKG, ResKGA, ResKH, ResKHA, ResKI, ResKIA, ResKJ, ResKJA, ResKK, ResKL, ResKLA, ResKM, ResKMA, ResKN, ResKNA, ResKOA, ResKP, ResKQ, ResKR, ResKS, ResKT, ResKU, ResKV, ResKW, ResKX, ResKY, ResKZ, ResL, ResLA, ResLAA, ResLB, ResLBA, ResLC, ResLCA, ResLD, ResLDA, ResLE, ResLEA, ResLF, ResLFA, ResLG, ResLGA, ResLH, ResLHA, ResLI, ResLIA, ResLJ, ResLJA, ResLK, ResLKA, ResLL, ResLLA, ResLM, ResLMA, ResLN, ResLNA, ResLO, ResLP, ResLPA, ResLQ, ResLR, ResLS, ResLT, ResLU, ResLV, ResLW, ResLX, ResM, ResMAA, ResMB, ResMBA, ResMC, ResMD, ResMDA, ResME, ResMF, ResMFA, ResMG, ResMGA, ResMH, ResMHA, ResMI, ResMIA, ResMJ, ResMJA, ResMK, ResMKA, ResML, ResMLA, ResMM, ResMMA, ResMO, ResMP, ResMPA, ResMQ, ResMQA, ResMR, ResMS, ResMT, ResMU, ResMV, ResMX, ResMY, ResMZ, ResN, ResNA, ResNAA, ResNB, ResNBA, ResNC, ResNCA, ResND, ResNDA, ResNE, ResNEA, ResNF, ResNFA, ResNG, ResNGA, ResNH, ResNHA, ResNI, ResNIA, ResNJ, ResNK, ResNKA, ResNL, ResNLA, ResNM, ResNN, ResNNA, ResNO, ResNOA, ResNP, ResNPA, ResNQ, ResNR, ResNT, ResNU, ResNV, ResNW, ResNX, ResNY, ResNZ, ResO, ResOA, ResOAA, ResOB, ResOBA, ResOC, ResOCA, ResOD, ResODA, ResOE, ResOEA, ResOF, ResOFA, ResOG, ResOGA, ResOH, ResOHA, ResOI, ResOJ, ResOJA, ResOK, ResOKA, ResOL, ResOM, ResOMA, ResON, ResOO, ResOOA, ResOP, ResOQ, ResOQA, ResOR, ResOS, ResOU, ResOV, ResOW, ResOX, ResP, ResPA, ResPAA, ResPB, ResPBA, ResPC, ResPCA, ResPD, ResPE, ResPEA, ResPF, ResPFA, ResPG, ResPGA, ResPH, ResPHA, ResPI, ResPIA, ResPJ, ResPK, ResPKA, ResPL, ResPLA, ResPM, ResPMA, ResPN, ResPNA, ResPO, ResPOA, ResPP, ResPQ, ResPQA, ResPR, ResPS, ResPT, ResPU, ResPV, ResPW, ResPX, ResPZ, ResQ, ResQA, ResQAA, ResQB, ResQBA, ResQC, ResQCA, ResQD, ResQDA, ResQE, ResQEA, ResQF, ResQFA, ResQG, ResQGA, ResQH, ResQHA, ResQI, ResQIA, ResQJ, ResQK, ResQKA, ResQL, ResQM, ResQN, ResQNA, ResQOA, ResQP, ResQPA, ResQQ, ResQS, ResQT, ResQU, ResQW, ResQX, ResQY, ResQZ, ResR, ResRA, ResRAA, ResRB, ResRBA, ResRC, ResRCA, ResRD, ResRDA, ResRE, ResRF, ResRG, ResRGA, ResRH, ResRHA, ResRI, ResRIA, ResRJ, ResRK, ResRKA, ResRL, ResRM, ResRN, ResRO, ResRP, ResRPA, ResRQ, ResRQA, ResRR, ResRS, ResRT, ResRU, ResRV, ResRW, ResRX, ResRY, ResRZ, ResS, ResSA, ResSB, ResSBA, ResSC, ResSCA, ResSD, ResSDA, ResSE, ResSEA, ResSF, ResSFA, ResSG, ResSGA, ResSH, ResSHA, ResSI, ResSIA, ResSJ, ResSJA, ResSK, ResSKA, ResSL, ResSLA, ResSM, ResSMA, ResSN, ResSP, ResSQ, ResSR, ResSS, ResST, ResSU, ResSV, ResSX, ResSY, ResSZ, ResT, ResTA, ResTAA, ResTB, ResTBA, ResTC, ResTD, ResTE, ResTEA, ResTF, ResTFA, ResTG, ResTGA, ResTH, ResTHA, ResTI, ResTIA, ResTJ, ResTJA, ResTK, ResTKA, ResTLA, ResTM, ResTMA, ResTNA, ResTO, ResTOA, ResTP, ResTPA, ResTQ, ResTQA, ResTR, ResTS, ResTT, ResTU, ResTV, ResTX, ResTY, ResTZ, ResU, ResUA, ResUB, ResUBA, ResUC, ResUCA, ResUD, ResUDA, ResUE, ResUEA, ResUF, ResUFA, ResUG, ResUGA, ResUH, ResUHA, ResUI, ResUIA, ResUJ, ResUJA, ResUK, ResUKA, ResUL, ResULA, ResUM, ResUN, ResUO, ResUOA, ResUP, ResUPA, ResUQA, ResUR, ResUS, ResUU, ResUV, ResUW, ResUY, ResUZ, ResV, ResVA, ResVAA, ResVB, ResVBA, ResVC, ResVCA, ResVD, ResVDA, ResVE, ResVF, ResVG, ResVGA, ResVH, ResVHA, ResVI, ResVIA, ResVJ, ResVJA, ResVK, ResVKA, ResVL, ResVM, ResVMA, ResVN, ResVNA, ResVO, ResVOA, ResVP, ResVPA, ResVQ, ResVQA, ResVR, ResVS, ResVT, ResVU, ResVY, ResVZ, ResW, ResWA, ResWB, ResWBA, ResWC, ResWD, ResWDA, ResWE, ResWEA, ResWF, ResWFA, ResWG, ResWGA, ResWH, ResWHA, ResWI, ResWIA, ResWJ, ResWJA, ResWK, ResWKA, ResWL, ResWM, ResWMA, ResWN, ResWNA, ResWOA, ResWP, ResWPA, ResWQ, ResWR, ResWT, ResWU, ResWV, ResWW, ResWX, ResWY, ResWZ, ResX, ResXA, ResXAA, ResXB, ResXBA, ResXC, ResXCA, ResXD, ResXDA, ResXE, ResXEA, ResXF, ResXFA, ResXG, ResXGA, ResXH, ResXHA, ResXI, ResXIA, ResXJ, ResXJA, ResXK, ResXL, ResXM, ResXN, ResXO, ResXOA, ResXP, ResXQ, ResXR, ResXS, ResXU, ResXV, ResXW, ResXX, ResXZ, ResY, ResYA, ResYAA, ResYB, ResYBA, ResYC, ResYCA, ResYD, ResYDA, ResYE, ResYEA, ResYF, ResYFA, ResYGA, ResYH, ResYHA, ResYI, ResYIA, ResYJ, ResYJA, ResYK, ResYKA, ResYL, ResYLA, ResYM, ResYMA, ResYN, ResYO, ResYOA, ResYP, ResYPA, ResYQ, ResYQA, ResYR, ResYS, ResYU, ResYV, ResYW, ResYX, ResYY, ResZ, ResZA, ResZAA, ResZB, ResZC, ResZCA, ResZD, ResZDA, ResZE, ResZEA, ResZF, ResZFA, ResZG, ResZGA, ResZH, ResZHA, ResZI, ResZJ, ResZJA, ResZK, ResZKA, ResZL, ResZLA, ResZM, ResZMA, ResZN, ResZNA, ResZO, ResZOA, ResZPA, ResZQ, ResZQA, ResZR, ResZS, ResZT, ResZV, ResZW, ResZX, ResZY, ResZZ, missing",0.46732446551322937,False,False,10.0,0.0,1.01289,1013,0.22440895163263364,-1.0,-5.4511928663385775e-06,-1.304880281860279e-07
fin,fin,missing,missing,"ResA, ResAI, ResAL, ResAM, ResBA, ResBQ, ResBX, ResCB, ResCIA, ResCU, ResDA, ResDAA, ResDB, ResDJ, ResEY, ResFL, ResGA, ResGD, ResGO, ResHC, ResHZ, ResI, ResIA, ResIDA, ResIFA, ResIK, ResJ, ResJA, ResJP, ResJW, ResJX, ResK, ResKH, ResKLA, ResL, ResLB, ResME, ResMI, ResNC, ResNE, ResNJA, ResOB, ResOY, ResPIA, ResPN, ResPP, ResQ, ResQA, ResQJ, ResQR, ResSB, ResTF, ResUA, ResVA, ResVG, ResWA, ResWB, ResWQA, ResXD, ResXF, ResYC, ResYW, ResZD, missing",0.39998358488082886,True,False,1.0,4.0,1.0525589386812382,64,0.16558437961794675,128718.88,0.667245446241666,2.2525559026717956
release,missing,release,missing,"ResA, ResAM, ResBA, ResDB, ResGA, ResIA, ResNC, ResQA, ResSB, ResU, ResUK, ResVD, ResWA, ResWB, ResYC, missing",0.37326204776763916,False,False,6.0,2.0,1.0570981444220882,16,0.15713877423513628,377.79999999999995,0.010775507768437042,2.497729649494705
code ok,code ok,missing,missing,"ResA, ResBA, ResDB, ResGA, ResIA, ResNC, ResQA, ResSB, ResU, ResWB, ResXD, ResYC, missing",1.0,False,False,5.0,3.0,1.0655907239109996,13,0.15066942278768047,5802.575,0.049635405071918375,4.725402272304905
billed,missing,billed,missing,"ResA, ResB, ResCB, ResDB, ResEB, ResGA, ResHG, ResIA, ResIU, ResNC, ResU, ResWB, ResXD, ResYC, missing",0.5903375148773193,False,False,0.0,5.0,1.0399975329200974,15,0.14943315631231577,11582.630000000001,0.18201049098016342,1.7038387445685184
delete,missing,delete,missing,"ResA, ResAA, ResAB, ResAC, ResAD, ResADA, ResAE, ResAEA, ResAF, ResAGA, ResAH, ResAJA, ResAK, ResAM, ResANA, ResAO, ResAQ, ResAQA, ResAR, ResAS, ResAV, ResAW, ResB, ResBA, ResBB, ResBD, ResBDA, ResBE, ResBEA, ResBF, ResBH, ResBHA, ResBK, ResBL, ResBQ, ResBT, ResBV, ResC, ResCA, ResCB, ResCD, ResCDA, ResCE, ResCF, ResCG, ResCGA, ResCH, ResCHA, ResCI, ResCIA, ResCJ, ResCL, ResCM, ResCMA, ResCN, ResCNA, ResCOA, ResCS, ResCW, ResCX, ResCZ, ResD, ResDA, ResDB, ResDDA, ResDFA, ResDG, ResDH, ResDIA, ResDJ, ResDMA, ResDN, ResDO, ResDP, ResE, ResEA, ResEB, ResEC, ResEE, ResEEA, ResEF, ResEGA, ResEKA, ResEL, ResELA, ResEM, ResEO, ResES, ResEW, ResFB, ResFF, ResFFA, ResFG, ResFH, ResFJA, ResFL, ResFLA, ResFM, ResFN, ResFR, ResFRA, ResFT, ResFU, ResG, ResGA, ResGC, ResGCA, ResGD, ResGE, ResGG, ResGH, ResGI, ResGKA, ResGL, ResGN, ResGO, ResGQ, ResGR, ResGS, ResGY, ResHA, ResHAA, ResHB, ResHCA, ResHF, ResHH, ResHHA, ResHJ, ResHN, ResHQA, ResHV, ResHW, ResHZ, ResI, ResIA, ResIB, ResIC, ResID, ResIF, ResIG, ResIH, ResIJ, ResIK, ResIM, ResIMA, ResIR, ResIV, ResIW, ResJB, ResJCA, ResJDA, ResJE, ResJF, ResJG, ResJH, ResJJ, ResJK, ResJM, ResJQ, ResJU, ResJV, ResJX, ResK, ResKA, ResKE, ResKF, ResKH, ResKI, ResKJ, ResKL, ResKM, ResKO, ResKQ, ResKS, ResKX, ResLB, ResLC, ResLD, ResLE, ResLF, ResLJA, ResLM, ResLMA, ResLNA, ResLO, ResLOA, ResLPA, ResLQ, ResLQA, ResLT, ResLV, ResLW, ResM, ResMD, ResME, ResMG, ResMHA, ResMI, ResMIA, ResMOA, ResMP, ResMT, ResMV, ResMX, ResN, ResNA, ResNB, ResNC, ResND, ResNE, ResNF, ResNH, ResNI, ResNL, ResNN, ResNQ, ResNQA, ResOC, ResOCA, ResOD, ResOE, ResOF, ResOG, ResOIA, ResOJ, ResOK, ResOL, ResOM, ResOP, ResOPA, ResOS, ResOT, ResOU, ResOZ, ResP, ResPA, ResPC, ResPD, ResPF, ResPG, ResPH, ResPIA, ResPJ, ResPK, ResPN, ResPNA, ResPP, ResPR, ResPT, ResQ, ResQA, ResQB, ResQBA, ResQCA, ResQE, ResQEA, ResQF, ResQG, ResQH, ResQJ, ResQK, ResQL, ResQM, ResQMA, ResQO, ResQX, ResR, ResRCA, ResRD, ResRDA, ResRE, ResRG, ResRGA, ResRH, ResRJ, ResRJA, ResRK, ResRLA, ResRM, ResRO, ResROA, ResRP, ResRQ, ResRS, ResRU, ResRY, ResS, ResSA, ResSB, ResSC, ResSD, ResSE, ResSF, ResSG, ResSH, ResSI, ResSJ, ResSL, ResSM, ResSN, ResSO, ResSOA, ResSP, ResSQ, ResT, ResTB, ResTC, ResTE, ResTF, ResTG, ResTJ, ResTM, ResTP, ResTPA, ResTR, ResTT, ResTU, ResTX, ResU, ResUGA, ResUH, ResUJ, ResUK, ResUO, ResUP, ResUQ, ResUR, ResVAA, ResVB, ResVD, ResVG, ResVJ, ResVL, ResVN, ResVO, ResVP, ResVS, ResVW, ResWA, ResWAA, ResWB, ResWC, ResWDA, ResWEA, ResWF, ResWG, ResWGA, ResWJ, ResWK, ResWKA, ResWM, ResWN, ResWNA, ResWP, ResWQ, ResXA, ResXB, ResXD, ResXE, ResXG, ResXGA, ResXH, ResXI, ResXKA, ResXM, ResXQA, ResXR, ResXT, ResXV, ResXZ, ResY, ResYA, ResYAA, ResYC, ResYD, ResYE, ResYF, ResYG, ResYH, ResYJ, ResYKA, ResYL, ResYMA, ResYNA, ResYO, ResYQ, ResYV, ResYW, ResYY, ResYZ, ResZ, ResZA, ResZB, ResZC, ResZD, ResZE, ResZG, ResZH, ResZHA, ResZI, ResZK, ResZL, ResZN, ResZO, ResZR, ResZU, ResZV, ResZX, missing",1.0,False,False,0.0,12.0,1.0004865588127965,409,0.01822274508761479,5574.77,0.022795261455075964,29.548082906518406
reopen,missing,reopen,missing,"ResAC, ResAF, ResAH, ResAO, ResAR, ResAV, ResB, ResBA, ResBE, ResBEA, ResBHA, ResBQ, ResBV, ResBW, ResC, ResCB, ResCE, ResCF, ResCH, ResCIA, ResCK, ResCL, ResCM, ResCX, ResD, ResDA, ResDB, ResDBA, ResDG, ResDH, ResDL, ResDM, ResDN, ResDO, ResDP, ResDPA, ResEF, ResEI, ResEL, ResEM, ResEO, ResFC, ResFEA, ResFG, ResFI, ResFJ, ResFK, ResFL, ResG, ResGA, ResGC, ResGD, ResGG, ResGHA, ResGN, ResGQ, ResGV, ResGY, ResHBA, ResHCA, ResHE, ResHH, ResHPA, ResI, ResIA, ResIF, ResIH, ResII, ResIJ, ResIK, ResJB, ResJBA, ResJDA, ResJJ, ResJK, ResJT, ResJU, ResJX, ResK, ResKG, ResKH, ResKI, ResKJ, ResKM, ResKO, ResLB, ResLC, ResLF, ResLIA, ResLL, ResLM, ResLO, ResLOA, ResM, ResME, ResMI, ResMN, ResMP, ResNC, ResNE, ResNEA, ResNH, ResNMA, ResNQ, ResNX, ResOB, ResOC, ResOCA, ResOE, ResOJ, ResOM, ResOS, ResP, ResPB, ResPC, ResPD, ResPG, ResPIA, ResPK, ResPL, ResPM, ResPN, ResPR, ResPT, ResQ, ResQA, ResQB, ResQCA, ResQI, ResQJ, ResQJA, ResQK, ResQL, ResQM, ResQO, ResQQ, ResQS, ResRBA, ResRD, ResRE, ResRG, ResRGA, ResRO, ResRP, ResSB, ResSFA, ResSG, ResSI, ResSL, ResSO, ResSQ, ResTC, ResTF, ResTFA, ResTG, ResU, ResUH, ResUI, ResULA, ResUO, ResVA, ResVAA, ResVD, ResVO, ResWA, ResWB, ResWJ, ResXB, ResXD, ResXE, ResXGA, ResXP, ResXV, ResYA, ResYC, ResYE, ResYF, ResYH, ResYM, ResYO, ResZD, ResZE, ResZI, ResZLA, ResZR, ResZV, ResZX, missing",0.555617094039917,False,False,3.0,4.0,1.1432419196865817,188,0.010344315722074298,3438.75,0.006250130792032546,30.006059524941577
change diagn,diagn,change,missing,"ResAA, ResAAA, ResAB, ResABA, ResAC, ResACA, ResAD, ResAE, ResAEA, ResAF, ResAFA, ResAGA, ResAH, ResAHA, ResAI, ResAIA, ResAJ, ResAK, ResAKA, ResANA, ResAO, ResAQ, ResAR, ResAS, ResAT, ResAW, ResAZ, ResBA, ResBAA, ResBB, ResBBA, ResBC, ResBDA, ResBE, ResBF, ResBG, ResBH, ResBHA, ResBI, ResBJ, ResBJA, ResBK, ResBKA, ResBM, ResBO, ResBOA, ResBP, ResBQ, ResBQA, ResBS, ResBU, ResBV, ResBX, ResBY, ResC, ResCA, ResCB, ResCBA, ResCC, ResCD, ResCE, ResCEA, ResCF, ResCG, ResCHA, ResCI, ResCIA, ResCJ, ResCK, ResCL, ResCM, ResCMA, ResCN, ResCNA, ResCO, ResCP, ResCPA, ResCQA, ResCV, ResCX, ResCY, ResCZ, ResD, ResDA, ResDAA, ResDBA, ResDC, ResDE, ResDF, ResDFA, ResDG, ResDGA, ResDH, ResDHA, ResDI, ResDIA, ResDJ, ResDK, ResDKA, ResDL, ResDM, ResDMA, ResDN, ResDO, ResDOA, ResDP, ResDQ, ResDS, ResDU, ResDV, ResDW, ResE, ResEA, ResEAA, ResEC, ResEDA, ResEE, ResEEA, ResEF, ResEFA, ResEGA, ResEH, ResEHA, ResEI, ResEJ, ResEJA, ResEK, ResEKA, ResEM, ResENA, ResEO, ResEOA, ResEP, ResEPA, ResEQ, ResER, ResEU, ResF, ResFA, ResFAA, ResFB, ResFC, ResFD, ResFDA, ResFE, ResFF, ResFFA, ResFG, ResFGA, ResFI, ResFJ, ResFJA, ResFM, ResFN, ResFNA, ResFOA, ResFP, ResFPA, ResFQ, ResFR, ResFS, ResFT, ResFW, ResFX, ResFY, ResFZ, ResG, ResGA, ResGAA, ResGBA, ResGC, ResGD, ResGE, ResGG, ResGH, ResGI, ResGJ, ResGJA, ResGK, ResGKA, ResGL, ResGLA, ResGM, ResGMA, ResGN, ResGNA, ResGO, ResGP, ResGPA, ResGQ, ResGR, ResGS, ResGY, ResGZ, ResH, ResHA, ResHAA, ResHB, ResHC, ResHCA, ResHD, ResHE, ResHF, ResHFA, ResHH, ResHI, ResHIA, ResHJ, ResHJA, ResHKA, ResHL, ResHLA, ResHM, ResHN, ResHOA, ResHP, ResHU, ResHV, ResHW, ResHX, ResHY, ResI, ResIB, ResICA, ResID, ResIE, ResIEA, ResIF, ResIH, ResII, ResIIA, ResIJ, ResIJA, ResIK, ResILA, ResIM, ResINA, ResIO, ResIQ, ResIR, ResIS, ResIT, ResIV, ResIW, ResIX, ResIY, ResJ, ResJB, ResJBA, ResJC, ResJD, ResJE, ResJEA, ResJF, ResJG, ResJH, ResJI, ResJJ, ResJK, ResJMA, ResJN, ResJNA, ResJO, ResJOA, ResJQ, ResJV, ResJZ, ResK, ResKA, ResKAA, ResKBA, ResKC, ResKCA, ResKD, ResKDA, ResKE, ResKEA, ResKF, ResKFA, ResKG, ResKH, ResKI, ResKJ, ResKK, ResKKA, ResKL, ResKLA, ResKM, ResKMA, ResKNA, ResKOA, ResKP, ResKPA, ResKQA, ResKS, ResKT, ResKW, ResLAA, ResLB, ResLC, ResLD, ResLE, ResLF, ResLH, ResLIA, ResLJ, ResLJA, ResLK, ResLM, ResLMA, ResLNA, ResLO, ResLP, ResLQ, ResLR, ResLS, ResLT, ResLV, ResLW, ResLY, ResLZ, ResM, ResMA, ResMC, ResMCA, ResMD, ResME, ResMEA, ResMG, ResMH, ResMI, ResMJ, ResMJA, ResMLA, ResMM, ResMNA, ResMO, ResMS, ResMT, ResMU, ResMW, ResMZ, ResNA, ResNB, ResND, ResNE, ResNF, ResNFA, ResNG, ResNGA, ResNH, ResNI, ResNK, ResNL, ResNN, ResNP, ResNQ, ResNU, ResNW, ResNY, ResO, ResOA, ResOAA, ResOB, ResOC, ResOD, ResOE, ResOEA, ResOF, ResOG, ResOH, ResOI, ResOJ, ResOJA, ResOK, ResOKA, ResOL, ResOLA, ResOM, ResOMA, ResONA, ResOO, ResOOA, ResOP, ResOPA, ResOQA, ResOV, ResP, ResPA, ResPAA, ResPB, ResPD, ResPDA, ResPE, ResPF, ResPG, ResPH, ResPHA, ResPI, ResPIA, ResPJ, ResPJA, ResPK, ResPL, ResPM, ResPN, ResPNA, ResPPA, ResPQ, ResPR, ResPS, ResPT, ResPU, ResPW, ResQ, ResQA, ResQAA, ResQB, ResQBA, ResQCA, ResQD, ResQE, ResQEA, ResQF, ResQFA, ResQG, ResQH, ResQI, ResQJ, ResQL, ResQLA, ResQM, ResQN, ResQNA, ResQOA, ResQP, ResQQ, ResQQA, ResQV, ResR, ResRA, ResRB, ResRD, ResRDA, ResRE, ResREA, ResRF, ResRFA, ResRG, ResRH, ResRIA, ResRJ, ResRK, ResRM, ResRMA, ResRN, ResRNA, ResROA, ResRP, ResRQ, ResRR, ResRS, ResRU, ResRV, ResRW, ResRX, ResRY, ResRZ, ResS, ResSA, ResSAA, ResSB, ResSC, ResSE, ResSEA, ResSF, ResSG, ResSH, ResSI, ResSIA, ResSJ, ResSK, ResSL, ResSLA, ResSMA, ResSNA, ResSOA, ResSP, ResSPA, ResSQ, ResSQA, ResST, ResSW, ResT, ResTA, ResTB, ResTBA, ResTC, ResTCA, ResTD, ResTDA, ResTE, ResTEA, ResTF, ResTFA, ResTG, ResTH, ResTI, ResTJ, ResTK, ResTL, ResTM, ResTN, ResTO, ResTP, ResTPA, ResTQ, ResTS, ResTU, ResTW, ResTX, ResTY, ResUA, ResUAA, ResUB, ResUBA, ResUD, ResUDA, ResUE, ResUF, ResUFA, ResUG, ResUGA, ResUI, ResUJ, ResUJA, ResUK, ResUKA, ResUL, ResUM, ResUMA, ResUN, ResUNA, ResUO, ResUOA, ResUPA, ResUR, ResUT, ResUU, ResUV, ResUX, ResUY, ResUZ, ResV, ResVA, ResVAA, ResVCA, ResVD, ResVDA, ResVE, ResVEA, ResVF, ResVFA, ResVG, ResVH, ResVI, ResVIA, ResVJ, ResVJA, ResVKA, ResVLA, ResVM, ResVN, ResVNA, ResVO, ResVP, ResVS, ResVT, ResVV, ResVX, ResW, ResWA, ResWB, ResWC, ResWCA, ResWD, ResWDA, ResWEA, ResWF, ResWG, ResWGA, ResWH, ResWJ, ResWK, ResWKA, ResWL, ResWLA, ResWM, ResWMA, ResWN, ResWNA, ResWO, ResWP, ResWQ, ResWS, ResWT, ResWU, ResWW, ResWX, ResX, ResXA, ResXAA, ResXB, ResXD, ResXDA, ResXE, ResXF, ResXG, ResXH, ResXHA, ResXI, ResXIA, ResXJ, ResXK, ResXLA, ResXM, ResXMA, ResXNA, ResXO, ResXOA, ResXPA, ResXQ, ResXR, ResXV, ResXW, ResXY, ResY, ResYA, ResYAA, ResYBA, ResYC, ResYCA, ResYEA, ResYF, ResYGA, ResYH, ResYHA, ResYI, ResYJ, ResYK, ResYKA, ResYL, ResYMA, ResYN, ResYO, ResYOA, ResYP, ResYPA, ResYQ, ResYU, ResYV, ResYW, ResYY, ResZ, ResZA, ResZB, ResZBA, ResZC, ResZD, ResZDA, ResZE, ResZG, ResZH, ResZHA, ResZI, ResZIA, ResZL, ResZM, ResZN, ResZNA, ResZP, ResZQ, ResZR, ResZV, ResZW, ResZX, missing",0.5801490545272827,False,False,4.0,2.0,1.0741362196908824,687,0.10069811391812367,0.57,0.027776985005069466,2.5284253331929665
storno,storno,missing,missing,"ResA, ResB, ResBA, ResCB, ResCH, ResDB, ResEB, ResGA, ResHG, ResIA, ResIU, ResNC, ResNS, ResSB, ResSO, ResU, ResWB, ResXD, ResYC, ResYT, missing",0.0,False,True,3.0,1.0,1.1667974882260597,21,0.006586774607352635,30362.82,0.019929158135212812,95.00843099248554
reject,missing,reject,missing,"ResA, ResB, ResCB, ResDB, ResEB, ResGA, ResHG, ResIA, ResIU, ResSB, ResU, ResWB, ResXD, ResYC, ResYT, missing",0.5498702526092529,False,False,9.0,0.0,1.1016393442622952,16,0.004466511136367952,0.35,0.0022611587798827834,81.32855101252552
