activity,business object,action,executing resource,org:resource,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
create fine,fine,create,missing,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 536, 537, 538, 54, 540, 541, 546, 548, 55, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 56, 560, 561, 562, 563, 564, 565, 566, 567, 568, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 704, 8, 802, 807, 808, 810, 811, 813, 816, 817, 818, 819, 820, 821, 823, 824, 825, 826, 827, 828, 829, 830, 831, 832, 833, 834, 835, 836, 837, 838, 839, 840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857, 858, 859, 860, 861, 862, 864, 865, 866, 867, 868, 869, 870, 9",0.573469877243042,False,False,4.0,0.0,1.0,147,0.2678148431799732,-1.0,-2.0324673706959096e-06,0.0
send fine,fine,send,missing,missing,0.686505913734436,True,True,1.0,1.0,1.0,1,0.18520490854318297,125340.0,0.1768214862383384,0.2874347623102133
insert fine notification,fine notification,insert,missing,missing,0.5537930727005005,False,True,3.0,1.0,1.0,1,0.1422337791865804,21600.0,0.026997030656001904,0.23236872212479467
add penalty,penalty,add,missing,missing,0.5135549306869507,True,True,1.0,1.0,1.0,1,0.1422337791865804,86400.0,0.08870319904869714,0.03583324300110403
send for credit collection,for credit collection,send,missing,missing,0.686505913734436,False,False,0.0,5.0,1.0,1,0.10510445794079355,701220.0,0.6038175718247216,1.6980177570257544
payment,missing,payment,missing,missing,0.6281129121780396,True,True,1.0,1.0,1.1131176934662554,1,0.1382104119546139,11520.0,0.08250500428859468,4.676524614200726
insert date appeal to prefecture,date appeal,insert,missing,missing,0.6754818558692932,False,True,0.0,1.0,1.0,1,0.007458991575685301,44640.0,0.0027714539621226356,16.37731106180579
send appeal to prefecture,appeal,send,missing,missing,0.686505913734436,False,False,0.0,0.0,1.0,1,0.007375282739950294,34560.0,0.016404335157881107,534.9316971202486
receive result appeal from prefecture,result appeal,receive,prefecture,missing,0.5473603010177612,True,True,1.0,1.0,1.0,1,0.001779258019128322,63420.0,0.001037446389288702,49.62772150078626
notify result appeal to offender,result appeal,notify,missing,missing,0.6754818558692932,True,False,1.0,0.0,1.0,1,0.0015958109961351494,18720.0,0.0005585556083089518,68.67719689907246
appeal to judge,missing,appeal,missing,0,0.6754818558692932,True,False,1.0,2.0,1.0,1,0.0009884766772935252,34560.0,0.00038594929341553,665.5885256916139
