activity,business object,action,executing resource,org:resource,org:role,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability
request for payment submitted by employee,request for payment,submitted,employee,STAFF MEMBER,employee,0.6281129121780396,False,False,5.0,2.0,1.101262107425888,1,0.2039352103489206,-1.0,0.06512855742850587,12.307144406602127
request for payment final approved by supervisor,request for payment,final approved,supervisor,STAFF MEMBER,supervisor,0.6458295583724976,False,False,3.0,4.0,1.0039569484013928,3,0.17238286770302116,1504.15,0.19858497057486815,2.656305640815735
request for payment rejected by missing,request for payment,rejected,missing,STAFF MEMBER,missing,0.6281129121780396,True,False,1.0,2.0,1.0476190476190477,6,0.0017936732253505813,2854.77,0.002515698883262614,91.43803494537194
request for payment approved by pre approver,request for payment,approved,pre approver,STAFF MEMBER,pre approver,0.6281129121780396,False,True,3.0,1.0,1.0172413793103448,4,0.011224046091966509,0.25,0.0028048631180724627,182.12904509581261
request payment,payment,request,missing,SYSTEM,undefined,0.6281129121780396,True,False,1.0,3.0,1.0,1,0.1712957930209629,1827.35,0.26894472225662547,2.214488154586861
payment handled,payment,handled,missing,SYSTEM,undefined,0.6281129121780396,False,False,0.0,2.0,1.0,1,0.1714045004891883,4651.68,0.27486790174353254,0.8591606883750258
request for payment rejected by supervisor,request for payment,rejected,supervisor,STAFF MEMBER,supervisor,0.6281129121780396,True,False,1.0,3.0,1.0406976744186047,6,0.004864659202087199,1390.98,0.006872609845229359,265.0097553653764
request for payment rejected by employee,request for payment,rejected,employee,STAFF MEMBER,employee,0.6281129121780396,True,False,1.0,4.0,1.0860860860860861,6,0.029486900750082035,1775.97,0.04460399458624835,16.031891692061944
request for payment approved by supervisor,request for payment,approved,supervisor,STAFF MEMBER,supervisor,0.6281129121780396,True,False,1.0,3.0,1.0,4,0.0011142515490814226,931.7,0.0014402477005044433,284.45163850090466
request for payment final approved by director,request for payment,final approved,director,STAFF MEMBER,director,0.6458295583724976,True,True,1.0,1.0,1.0,3,0.0011142515490814226,2774.22,0.0017676896492208763,256.4099171091786
request for payment rejected by pre approver,request for payment,rejected,pre approver,STAFF MEMBER,pre approver,0.6281129121780396,True,True,1.0,1.0,1.0408163265306123,6,0.0013860202195890854,0.22,0.0012247890795083196,1893.4679782727424
request for payment saved by employee,request for payment,saved,employee,STAFF MEMBER,employee,0.6281129121780396,False,True,0.0,1.0,1.0,1,0.002011088161756713,-1.0,8.623211277308214e-05,70.14560172937526
request for payment rejected by administration,request for payment,rejected,administration,STAFF MEMBER,administration,0.6281129121780396,True,False,1.0,0.0,1.1072847682119205,6,0.022719860854440575,0.42,0.01271530161455481,205.01525099072285
request for payment approved by administration,request for payment,approved,administration,STAFF MEMBER,administration,0.6281129121780396,False,True,7.0,1.0,1.0261731164703682,4,0.14917382324165387,0.32,0.05296527830819113,35.861929353521084
request for payment approved by budget owner,request for payment,approved,budget owner,STAFF MEMBER,budget owner,0.6281129121780396,False,True,4.0,1.0,1.0110441767068272,4,0.05473421024024189,1526.565,0.06371981902867065,5.444257364705297
request for payment rejected by budget owner,request for payment,rejected,budget owner,STAFF MEMBER,budget owner,0.6281129121780396,True,True,1.0,1.0,1.0,6,0.001277312751386019,1471.03,0.0011312651217016475,83.69536118939371
request for payment for approval by administration,request for payment,approval,administration,STAFF MEMBER,administration,0.6281129121780396,False,False,0.0,0.0,1.0,2,2.7176867050766388e-05,71592.65,0.0006013136935669334,
request for payment final approved by budget owner,request for payment,final approved,budget owner,STAFF MEMBER,budget owner,0.6458295583724976,True,True,1.0,1.0,1.0,3,2.7176867050766388e-05,1945.68,1.634195727214052e-05,
request for payment for approval by supervisor,request for payment,approval,supervisor,STAFF MEMBER,supervisor,0.6281129121780396,False,True,0.0,1.0,1.0,2,2.7176867050766388e-05,1000.5,8.403297690666806e-06,
