activity,business object,action,executing resource,org:resource,org:role,IT relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number of resources,ef_relative,median_execution_time,et_relative,stability
start trip,trip,start,missing,STAFF MEMBER,employee,0.6540809273719788,False,False,4.0,12.0,1.0,1,0.08159988912116715,27923.62,0.3315761490177021,9.136702899049391
end trip,trip,end,missing,STAFF MEMBER,employee,0.6257888674736023,False,False,5.0,4.0,1.0,1,0.08159988912116715,5760.0,0.07056737834755186,15.90820389041539
permit submitted by employee,permit,submitted,employee,STAFF MEMBER,employee,0.5681877136230469,False,False,6.0,3.0,1.0398581560283688,1,0.08467215670873718,5396.85,0.03318403213114047,22.988950353389015
permit final approved by supervisor,permit,final approved,supervisor,STAFF MEMBER,supervisor,0.6458295583724976,False,False,6.0,4.0,1.0022271714922049,2,0.07276423233735899,1345.2,0.020964110666868863,0.8489305165667083
declaration submitted by employee,declaration,submitted,employee,STAFF MEMBER,employee,0.5537296533584595,False,False,4.0,10.0,1.3592964824120604,1,0.08747877709890665,5810.505,0.11830214605254413,6.062539110236044
declaration final approved by supervisor,declaration,final approved,supervisor,STAFF MEMBER,supervisor,0.6458295583724976,True,False,1.0,5.0,1.0585475699005442,2,0.0651528626373032,1493.08,0.023813995563022883,1.532235918382864
request payment,payment,request,missing,SYSTEM,undefined,0.6281129121780396,False,False,6.0,4.0,1.3188177684505071,1,0.08709763111998733,1552.67,0.03530376784502356,2.1110965081243434
payment handled,payment,handled,missing,SYSTEM,undefined,0.6281129121780396,False,False,5.0,5.0,1.3186505855619648,1,0.08713228075442646,4557.975,0.04081471628714529,1.1115928422404526
permit saved by employee,permit,saved,employee,STAFF MEMBER,employee,0.5681877136230469,True,False,1.0,2.0,1.0,1,0.00019634792852935403,30517.63,0.00022156171709323137,1543.1735466719908
permit approved by supervisor,permit,approved,supervisor,STAFF MEMBER,supervisor,0.5972120761871338,False,False,4.0,8.0,1.0088626292466765,4,0.007888566775620548,1215.88,0.0022924056144835213,16.12867358010889
permit final approved by director,permit,final approved,director,STAFF MEMBER,director,0.6458295583724976,False,False,8.0,5.0,1.007396449704142,2,0.007865467019322885,1470.83,0.0034347679535123585,59.862402726303884
declaration approved by pre approver,declaration,approved,pre approver,STAFF MEMBER,pre approver,0.5972120761871338,False,False,6.0,2.0,1.1736401673640167,3,0.006479481641468634,2.58,0.001041762092742157,64.86315308043147
declaration approved by administration,declaration,approved,administration,STAFF MEMBER,administration,0.5972120761871338,False,False,10.0,2.0,1.071236559139785,3,0.055231517307497854,2.68,0.011473682807198012,26.385109103285664
permit approved by pre approver,permit,approved,pre approver,STAFF MEMBER,pre approver,0.5972120761871338,False,True,5.0,1.0,1.0156521739130435,4,0.006745128838890691,0.08,0.00047112328131467213,554.7884058016165
declaration rejected by pre approver,declaration,rejected,pre approver,STAFF MEMBER,pre approver,0.5537296533584595,False,True,2.0,1.0,1.0547945205479452,6,0.0008893406174564851,8.45,0.00016191655586101077,232.05318192377706
declaration rejected by employee,declaration,rejected,employee,STAFF MEMBER,employee,0.5537296533584595,False,False,4.0,11.0,1.2448377581120944,6,0.019496194315149786,1938.69,0.009077440996671899,5.4763193198365805
declaration saved by employee,declaration,saved,employee,STAFF MEMBER,employee,0.5537296533584595,False,False,4.0,8.0,1.1206896551724137,1,0.0007507420796710599,5871.33,0.0012710236423838783,486.8960894022896
send reminder,reminder,send,missing,SYSTEM,undefined,0.686505913734436,False,False,6.0,8.0,1.667632150615496,1,0.026599369376654178,76003.3,0.20841018830323388,26.324778659515122
request for payment submitted by employee,request for payment,submitted,employee,STAFF MEMBER,employee,0.6281129121780396,False,False,2.0,17.0,1.5471841704718416,1,0.023480902276481665,5650.23,0.043326181007240366,27.42907694300862
request for payment final approved by supervisor,request for payment,final approved,supervisor,STAFF MEMBER,supervisor,0.6458295583724976,False,False,4.0,6.0,1.3945902943516308,2,0.020246936394820423,1158.97,0.004894583330909416,2.786405377251245
request for payment rejected by missing,request for payment,rejected,missing,STAFF MEMBER,missing,0.6281129121780396,False,False,3.0,3.0,1.0,6,8.08491470414987e-05,1612.63,4.041254138060886e-05,992.162796301045
